name	state	zscore_1_65
Dallas County	Alabama	"{""units_2"": ""{county:8.5|state:2.0|us:3.5}"", ""units_3_4"": ""{county:6.5|state:2.9|us:4.3}"", ""race_black"": ""{county:71.5|state:26.6|us:12.6}"", ""occupied_renter"": ""{county:43.3|state:30.8|us:35.6}"", ""in_manufacturing"": ""{county:27.6|state:14.2|us:10.0}"", ""job_prod_transpo"": ""{county:29.0|state:17.2|us:13.1}"", ""income_10000_less"": ""{county:16.5|state:8.1|us:5.8}""}"
DeKalb County	Alabama	"{""edu_9_less"": ""{county:10.9|state:4.0|us:4.9}"", ""in_manufacturing"": ""{county:27.4|state:14.2|us:10.0}"", ""job_prod_transpo"": ""{county:27.9|state:17.2|us:13.1}""}"
Elmore County	Alabama	"{""built_2000_2009"": ""{county:25.7|state:15.3|us:13.6}"", ""built_2010_2013"": ""{county:6.0|state:3.9|us:2.7}""}"
Escambia County	Alabama	"{""rooms_5"": ""{county:45.6|state:22.2|us:19.3}"", ""edu_9_12"": ""{county:14.9|state:9.1|us:6.6}"", ""job_service"": ""{county:25.0|state:16.1|us:17.4}"", ""built_1980_1989"": ""{county:21.0|state:14.7|us:13.4}"", ""built_1990_1999"": ""{county:32.8|state:18.1|us:13.9}"", ""income_10000_less"": ""{county:15.3|state:8.1|us:5.8}""}"
Etowah County	Alabama	
Fayette County	Alabama	"{""in_retail"": ""{county:15.8|state:11.6|us:11.0}"", ""in_manufacturing"": ""{county:26.2|state:14.2|us:10.0}"", ""job_prod_transpo"": ""{county:33.0|state:17.2|us:13.1}"", ""ancestry_american"": ""{county:24.0|state:16.2|us:5.9}"", ""units_boat_rv_van"": ""{county:0.7|state:0.1|us:0.1}""}"
Franklin County	Alabama	"{""rooms_7"": ""{county:19.2|state:13.9|us:12.1}"", ""in_manufacturing"": ""{county:30.8|state:14.2|us:10.0}"", ""job_prod_transpo"": ""{county:30.5|state:17.2|us:13.1}"", ""ancestry_american"": ""{county:38.0|state:16.2|us:5.9}"", ""income_15000_24999"": ""{county:17.0|state:10.9|us:8.5}""}"
Geneva County	Alabama	"{""in_wholesale"": ""{county:4.6|state:2.5|us:2.5}""}"
Greene County	Alabama	"{""rooms_4"": ""{county:26.7|state:13.9|us:16.1}"", ""edu_9_12"": ""{county:13.7|state:9.1|us:6.6}"", ""age_60_64"": ""{county:9.5|state:6.6|us:6.2}"", ""race_black"": ""{county:78.9|state:26.6|us:12.6}"", ""units_mobile"": ""{county:38.7|state:13.0|us:6.0}"", ""housing_vacant"": ""{county:38.1|state:16.8|us:11.6}"", ""in_public_admin"": ""{county:14.9|state:5.5|us:4.7}"", ""in_manufacturing"": ""{county:26.7|state:14.2|us:10.0}"", ""job_prod_transpo"": ""{county:30.1|state:17.2|us:13.1}"", ""income_10000_less"": ""{county:19.0|state:8.1|us:5.8}"", ""income_15000_24999"": ""{county:17.9|state:10.9|us:8.5}"", ""income_25000_34999"": ""{county:16.4|state:10.5|us:8.6}"", ""ancestry_west_indian"": ""{county:2.0|state:0.2|us:0.9}""}"
Hale County	Alabama	"{""rooms_4"": ""{county:27.2|state:13.9|us:16.1}"", ""edu_9_12"": ""{county:14.1|state:9.1|us:6.6}"", ""race_black"": ""{county:59.1|state:26.6|us:12.6}"", ""units_mobile"": ""{county:41.6|state:13.0|us:6.0}"", ""grapi_35_more"": ""{county:59.5|state:38.8|us:40.0}"", ""income_10000_less"": ""{county:15.6|state:8.1|us:5.8}"", ""income_10000_14999"": ""{county:11.7|state:5.6|us:4.1}""}"
Henry County	Alabama	"{""in_other"": ""{county:7.8|state:4.9|us:4.8}"", ""ancestry_american"": ""{county:26.9|state:16.2|us:5.9}""}"
Houston County	Alabama	
Jackson County	Alabama	"{""grapi_30_34"": ""{county:15.8|state:8.5|us:9.1}"", ""in_manufacturing"": ""{county:28.4|state:14.2|us:10.0}""}"
Jefferson County	Alabama	"{""pop2020"": ""{county:658615|state:4893186|us:326569308}"", ""units_5_9"": ""{county:6.3|state:4.2|us:4.6}"", ""in_finance"": ""{county:8.7|state:5.6|us:6.6}"", ""race_black"": ""{county:42.9|state:26.6|us:12.6}"", ""units_10_19"": ""{county:6.3|state:3.3|us:4.3}"", ""housing_total"": ""{county:308825|state:2270398|us:138432751}"", ""housing_units"": ""{county:308825|state:2270398|us:138432751}""}"
Lamar County	Alabama	"{""in_other"": ""{county:8.2|state:4.9|us:4.8}"", ""rent_500_less"": ""{county:65.0|state:15.8|us:8.9}"", ""built_1970_1979"": ""{county:26.0|state:16.0|us:15.0}"", ""in_manufacturing"": ""{county:28.2|state:14.2|us:10.0}"", ""job_prod_transpo"": ""{county:29.0|state:17.2|us:13.1}""}"
Lauderdale County	Alabama	
Lawrence County	Alabama	"{""rooms_7"": ""{county:19.9|state:13.9|us:12.1}"", ""built_1990_1999"": ""{county:24.1|state:18.1|us:13.9}"", ""in_manufacturing"": ""{county:24.1|state:14.2|us:10.0}"", ""ancestry_american"": ""{county:26.1|state:16.2|us:5.9}""}"
Lee County	Alabama	"{""rooms_1"": ""{county:6.8|state:1.5|us:2.3}"", ""age_20_24"": ""{county:13.1|state:6.6|us:6.7}"", ""built_1990_1999"": ""{county:25.5|state:18.1|us:13.9}"", ""built_2010_2013"": ""{county:7.4|state:3.9|us:2.7}"", ""edu_grad_degree"": ""{county:16.4|state:9.9|us:12.7}"", ""in_education_health"": ""{county:31.3|state:22.7|us:23.3}""}"
Limestone County	Alabama	"{""built_2010_2013"": ""{county:9.2|state:3.9|us:2.7}"", ""built_2014_later"": ""{county:7.3|state:3.5|us:3.5}""}"
Lowndes County	Alabama	"{""rooms_6"": ""{county:26.9|state:20.4|us:17.8}"", ""race_black"": ""{county:74.9|state:26.6|us:12.6}"", ""units_mobile"": ""{county:38.2|state:13.0|us:6.0}"", ""grapi_35_more"": ""{county:68.4|state:38.8|us:40.0}"", ""built_1990_1999"": ""{county:29.1|state:18.1|us:13.9}"", ""job_prod_transpo"": ""{county:29.7|state:17.2|us:13.1}"", ""value_50000_less"": ""{county:34.9|state:12.5|us:6.6}"", ""ancestry_american"": ""{county:21.7|state:16.2|us:5.9}"", ""income_10000_14999"": ""{county:11.9|state:5.6|us:4.1}"", ""income_15000_24999"": ""{county:19.2|state:10.9|us:8.5}""}"
Macon County	Alabama	"{""rooms_7"": ""{county:18.1|state:13.9|us:12.1}"", ""age_15_19"": ""{county:10.0|state:6.6|us:6.5}"", ""age_20_24"": ""{county:11.0|state:6.6|us:6.7}"", ""race_black"": ""{county:82.2|state:26.6|us:12.6}"", ""unemployed"": ""{county:5.6|state:3.2|us:3.4}""}"
Madison County	Alabama	"{""units_5_9"": ""{county:6.4|state:4.2|us:4.6}"", ""built_2010_2013"": ""{county:6.9|state:3.9|us:2.7}"", ""edu_grad_degree"": ""{county:17.0|state:9.9|us:12.7}"", ""in_professional"": ""{county:19.0|state:9.6|us:11.7}"", ""job_bus_sci_art"": ""{county:48.8|state:35.7|us:39.5}"", ""edu_bachelor_degree"": ""{county:26.9|state:16.3|us:20.2}"", ""edu_bachelor_higher"": ""{county:43.8|state:26.2|us:32.9}"", ""income_150000_199999"": ""{county:9.2|state:4.9|us:7.1}""}"
Marengo County	Alabama	"{""race_black"": ""{county:51.8|state:26.6|us:12.6}""}"
Marion County	Alabama	"{""rent_500_less"": ""{county:44.9|state:15.8|us:8.9}"", ""income_10000_14999"": ""{county:10.3|state:5.6|us:4.1}""}"
Marshall County	Alabama	"{""ancestry_american"": ""{county:38.9|state:16.2|us:5.9}""}"
Mobile County	Alabama	"{""race_black"": ""{county:36.1|state:26.6|us:12.6}""}"
Monroe County	Alabama	"{""rooms_5"": ""{county:34.2|state:22.2|us:19.3}"", ""race_black"": ""{county:42.5|state:26.6|us:12.6}"", ""unemployed"": ""{county:6.2|state:3.2|us:3.4}"", ""built_1980_1989"": ""{county:21.3|state:14.7|us:13.4}"", ""in_manufacturing"": ""{county:25.9|state:14.2|us:10.0}"", ""income_10000_less"": ""{county:17.0|state:8.1|us:5.8}"", ""income_10000_14999"": ""{county:10.3|state:5.6|us:4.1}""}"
Montgomery County	Alabama	"{""units_5_9"": ""{county:8.6|state:4.2|us:4.6}"", ""race_black"": ""{county:57.9|state:26.6|us:12.6}"", ""occupied_renter"": ""{county:42.4|state:30.8|us:35.6}"", ""ancestry_american"": ""{county:26.2|state:16.2|us:5.9}""}"
Morgan County	Alabama	
Perry County	Alabama	"{""rooms_5"": ""{county:34.4|state:22.2|us:19.3}"", ""edu_9_12"": ""{county:14.1|state:9.1|us:6.6}"", ""age_10_14"": ""{county:9.1|state:6.4|us:6.5}"", ""age_15_19"": ""{county:12.4|state:6.6|us:6.5}"", ""race_black"": ""{county:69.1|state:26.6|us:12.6}"", ""in_arts_food"": ""{county:22.7|state:8.3|us:9.4}"", ""rent_500_less"": ""{county:66.2|state:15.8|us:8.9}"", ""value_50000_less"": ""{county:36.5|state:12.5|us:6.6}"", ""income_10000_less"": ""{county:16.9|state:8.1|us:5.8}"", ""income_10000_14999"": ""{county:14.5|state:5.6|us:4.1}"", ""income_15000_24999"": ""{county:22.8|state:10.9|us:8.5}""}"
Pickens County	Alabama	"{""rooms_6"": ""{county:25.5|state:20.4|us:17.8}"", ""race_black"": ""{county:40.3|state:26.6|us:12.6}"", ""rent_500_less"": ""{county:54.5|state:15.8|us:8.9}"", ""income_10000_14999"": ""{county:10.1|state:5.6|us:4.1}"", ""ancestry_scottish_irish"": ""{county:2.6|state:1.4|us:0.9}""}"
Pike County	Alabama	"{""age_15_19"": ""{county:9.9|state:6.6|us:6.5}"", ""age_20_24"": ""{county:16.2|state:6.6|us:6.7}"", ""units_3_4"": ""{county:6.2|state:2.9|us:4.3}"", ""race_black"": ""{county:37.3|state:26.6|us:12.6}"", ""grapi_35_more"": ""{county:52.3|state:38.8|us:40.0}"", ""ancestry_american"": ""{county:21.2|state:16.2|us:5.9}""}"
Randolph County	Alabama	"{""in_manufacturing"": ""{county:26.5|state:14.2|us:10.0}"", ""job_prod_transpo"": ""{county:30.9|state:17.2|us:13.1}""}"
Russell County	Alabama	"{""job_sales"": ""{county:25.8|state:21.5|us:21.3}"", ""in_finance"": ""{county:8.2|state:5.6|us:6.6}"", ""race_black"": ""{county:44.9|state:26.6|us:12.6}"", ""built_2010_2013"": ""{county:8.7|state:3.9|us:2.7}""}"
Shelby County	Alabama	"{""in_finance"": ""{county:10.5|state:5.6|us:6.6}"", ""income_mean"": ""{county:103042|state:71964|us:91547}"", ""ancestry_arab"": ""{county:0.8|state:0.3|us:0.6}"", ""earnings_male"": ""{county:65319|state:50823|us:54323}"", ""rent_1000_1499"": ""{county:44.7|state:23.5|us:30.2}"", ""built_1990_1999"": ""{county:26.5|state:18.1|us:13.9}"", ""built_2000_2009"": ""{county:26.9|state:15.3|us:13.6}"", ""earnings_median"": ""{county:43150|state:32080|us:36280}"", ""job_bus_sci_art"": ""{county:46.8|state:35.7|us:39.5}"", ""edu_bachelor_degree"": ""{county:28.9|state:16.3|us:20.2}"", ""edu_bachelor_higher"": ""{county:44.2|state:26.2|us:32.9}"", ""income_100000_149999"": ""{county:20.7|state:13.1|us:15.6}""}"
St. Clair County	Alabama	"{""in_wholesale"": ""{county:5.1|state:2.5|us:2.5}"", ""built_2000_2009"": ""{county:27.2|state:15.3|us:13.6}""}"
