name	rooms_1	rooms_2	rooms_3	employed	in_other	age_20_24	age_25_34	age_35_44	units_3_4	units_5_9	class_govt	race_black	unemployed	age_16_over	age_18_over	age_21_over	income_mean	rent_median	units_10_19	value_median	earnings_male	income_median	units_20_more	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1940_1949	earnings_female	earnings_median	edu_grad_degree	in_professional	in_public_admin	job_bus_sci_art	occupied_renter	ancestry_russian	built_2014_later	income_percapita	units_1_attached	ancestry_ukranian	built_1939_earlier	income_200000_more	value_1000000_more	edu_bachelor_degree	edu_bachelor_higher	value_500000_999999	income_150000_199999	ancestry_subsaharan_african	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_employed	rank_in_other	rank_age_20_24	rank_age_25_34	rank_age_35_44	rank_units_3_4	rank_units_5_9	rank_class_govt	rank_race_black	rank_unemployed	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_income_mean	rank_rent_median	rank_units_10_19	rank_value_median	rank_earnings_male	rank_income_median	rank_units_20_more	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1940_1949	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_in_public_admin	rank_job_bus_sci_art	rank_occupied_renter	rank_ancestry_russian	rank_built_2014_later	rank_income_percapita	rank_units_1_attached	rank_ancestry_ukranian	rank_built_1939_earlier	rank_income_200000_more	rank_value_1000000_more	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_value_500000_999999	rank_income_150000_199999	rank_ancestry_subsaharan_african
Oklahoma	1.8	2.1	7.2	57.4	5.3	7.0	13.8	12.5	2.7	3.7	17.0	7.3	3.1	78.4	75.8	71.6	74195	818	3.4	142400	49185	53840	4.0	1.6	4.5	0.9	0.3	0.4	5.1	36821	32256	9.0	8.7	6.2	35.6	33.9	0.3	3.9	29873	2.0	0.1	7.5	4.5	0.8	17.2	26.1	3.1	4.8	0.6	29	36	33	41	5	12	19	21	45	40	11	28	31	46	45	45	44	44	33	48	43	44	43	25	42	45	39	43	18	48	41	45	41	9	44	18	42	20	43	49	34	34	43	39	43	45	46	46	40
Oregon	3.0	4.1	8.8	59.1	4.5	6.4	14.2	13.4	4.3	4.4	13.8	1.9	3.4	81.6	79.2	75.6	88137	1173	3.7	336700	54792	65667	8.8	1.7	18.1	5.8	1.6	1.2	5.2	44809	35166	13.1	11.3	4.6	40.4	37.2	1.0	3.8	35393	4.7	0.5	11.2	7.2	2.6	21.3	34.4	18.8	7.0	0.6	9	6	20	34	34	42	14	5	19	23	31	44	20	12	12	9	20	14	27	8	20	19	17	20	13	14	15	14	16	19	25	15	19	25	15	10	13	21	21	22	7	26	19	14	20	17	9	19	40
Pennsylvania	2.0	2.1	7.2	59.4	4.7	6.3	13.2	11.7	4.0	3.2	10.7	11.1	3.4	81.7	79.3	75.3	87262	958	2.6	187500	56266	63627	6.4	1.6	10.1	3.1	1.1	1.0	7.2	44779	36987	12.8	10.6	4.0	39.9	31.0	1.3	1.8	35518	18.6	0.8	25.9	7.1	1.1	19.5	32.3	6.3	6.7	1.0	25	36	33	30	19	45	30	46	22	46	51	22	20	11	11	12	21	26	44	31	18	23	27	25	26	24	18	18	4	20	19	17	22	41	17	38	7	45	20	3	1	5	20	32	30	24	30	21	19
Puerto Rico	1.9	3.2	9.0	37.6	5.4	6.9	12.5	12.3	3.0	4.4	21.0	11.3	6.7	83.8	81.2	77.1	33315	486	3.1	111200	24088	21058	5.8	1.6	1.2	0.5	0.2	0.2	3.5	24385	17422	null	10.2	8.7	32.9	32.2	null	0.3	13318	11.5	null	2.0	1.0	0.5	null	null	1.0	0.9	null	28	17	17	52	3	14	47	27	40	23	5	21	1	1	4	3	52	52	40	52	52	52	30	25	52	52	49	50	39	52	52		26	6	51	33		52	52	5		49	52	51			52	52	
Rhode Island	2.4	2.9	10.4	60.9	4.6	7.2	13.9	11.7	12.0	4.8	12.9	6.5	3.6	83.0	80.6	75.6	92427	1031	3.8	276600	59194	70305	8.4	1.5	12.6	3.3	1.0	1.0	6.6	47939	39410	14.0	10.6	4.0	40.5	38.4	0.8	1.0	37504	3.6	0.4	30.3	7.7	2.0	21.0	35.0	10.4	7.8	3.1	18	19	6	21	25	6	15	46	1	12	40	29	13	6	6	9	17	23	23	15	13	16	18	36	24	22	21	18	8	14	13	11	22	41	14	6	19	51	13	38	10	4	17	18	21	14	15	15	3
South Carolina	1.5	1.5	5.8	56.2	5.1	6.5	13.2	12.1	2.7	4.2	15.0	26.4	3.3	80.8	78.2	74.1	76390	918	3.2	170100	48718	54864	5.2	1.5	8.1	2.0	0.7	0.7	2.9	37883	31942	10.8	10.5	4.5	35.8	29.9	0.4	5.9	30727	3.2	0.2	3.9	5.1	1.6	18.2	29.0	6.1	5.2	1.0	40	48	48	42	8	39	30	36	45	28	22	7	24	18	18	20	43	28	39	37	45	42	32	36	30	27	26	28	46	44	45	34	24	28	41	41	34	5	41	43	25	45	35	22	38	37	32	40	19
South Dakota	1.8	2.9	8.0	65.2	4.5	6.7	13.1	11.9	3.6	3.9	15.5	2.1	2.4	78.1	75.5	71.4	77932	761	4.4	174600	49358	59896	6.5	1.5	3.4	0.8	0.3	0.6	4.1	38586	33511	9.2	6.6	4.9	37.3	32.0	1.1	4.7	31415	3.8	0.2	17.4	4.4	0.9	20.1	29.3	4.3	5.1	1.0	29	19	26	5	34	25	33	43	27	36	18	42	49	47	47	47	38	49	16	36	41	32	25	36	47	47	39	33	32	41	36	44	50	18	34	34	9	11	38	36	25	16	45	35	26	35	37	42	19
Tennessee	1.5	1.8	6.8	57.9	4.8	6.6	13.8	12.5	3.1	4.6	13.3	16.7	3.3	80.3	77.7	73.9	76937	897	3.8	177600	48607	54833	4.9	1.6	8.2	2.0	0.6	0.6	4.5	39132	32742	10.4	9.9	4.2	36.3	33.5	0.3	4.7	30869	3.3	0.1	5.8	5.1	1.3	17.8	28.2	6.2	4.9	1.2	40	42	42	38	15	34	19	21	38	16	37	11	24	26	27	23	41	29	23	34	46	43	35	25	29	27	28	33	26	39	39	38	29	36	38	26	42	11	40	41	34	38	35	27	40	40	31	44	17
Texas	2.2	3.5	10.2	61.0	5.1	7.0	14.7	13.6	3.3	4.6	13.3	12.1	3.4	77.1	74.2	70.0	89506	1082	6.0	187200	51949	63826	9.4	1.7	14.4	4.2	1.2	1.0	3.2	41687	35003	10.8	11.7	4.0	37.8	37.7	0.3	7.1	32177	2.7	0.1	3.5	7.8	1.7	19.9	30.7	6.6	7.0	1.4	19	13	8	19	8	12	8	4	36	16	37	19	20	51	51	51	19	20	3	32	32	22	13	20	20	17	17	18	42	27	26	34	15	41	28	7	42	2	35	44	34	46	16	21	27	28	28	19	10
Utah	1.7	2.3	6.6	66.1	4.5	8.3	14.8	13.7	4.2	3.4	14.6	1.2	2.5	73.8	70.6	66.1	94452	1090	4.2	305400	56374	74197	7.2	2.0	15.2	3.5	0.8	0.9	3.2	40326	33419	11.7	12.7	4.7	39.7	29.5	0.4	6.8	30986	6.7	0.1	6.8	7.0	2.1	23.0	34.7	13.3	7.8	0.5	35	31	44	4	34	1	7	3	21	43	23	49	45	52	52	52	16	19	18	11	17	13	22	9	18	21	24	21	42	34	37	23	10	23	19	42	34	3	39	13	34	36	22	17	7	15	12	15	44
Vermont	3.8	3.6	8.9	62.8	4.6	7.3	11.9	11.3	6.3	4.8	14.6	1.3	2.5	83.8	81.5	76.4	83767	999	1.8	230900	52486	63477	4.0	1.7	12.1	3.3	0.9	0.9	3.0	45695	35246	16.1	9.1	5.0	43.1	28.7	1.1	2.1	35854	4.2	0.3	25.5	6.0	1.1	23.5	39.7	7.2	6.1	0.6	6	10	19	14	25	4	51	52	9	12	23	48	45	1	2	6	26	25	50	24	28	24	43	20	25	22	22	21	45	17	24	7	38	16	8	47	9	43	19	29	16	6	25	32	6	7	26	26	40
Virginia	1.5	2.1	7.0	61.0	5.3	6.7	13.9	13.0	2.8	4.6	20.0	19.0	3.0	80.5	78.0	73.9	106023	1257	5.5	282800	61123	76398	7.8	1.9	20.8	9.2	3.7	3.1	4.3	48894	40573	17.2	15.9	8.8	45.3	33.3	0.5	3.6	41255	11.1	0.3	7.3	11.6	3.0	22.4	39.5	18.0	9.0	2.3	40	36	37	19	5	25	15	10	43	16	8	10	34	21	20	23	8	10	6	13	9	11	19	12	7	9	7	8	29	12	9	5	2	4	4	28	31	22	6	6	16	35	7	11	10	8	10	10	5
Washington	3.4	4.3	9.4	60.6	4.5	6.4	15.3	13.4	3.6	4.4	15.6	3.9	3.1	80.4	78.0	74.4	103669	1337	4.9	366800	64520	77006	11.5	2.2	22.7	10.6	3.7	3.4	4.7	50941	41498	13.9	13.6	5.0	42.7	36.7	1.1	4.8	40837	4.0	0.8	10.0	10.5	5.9	22.8	36.7	24.0	8.9	1.3	7	4	15	23	34	42	4	5	27	23	17	37	31	22	20	17	10	6	11	6	6	10	8	7	5	7	7	7	22	8	6	12	8	16	9	11	9	9	9	34	1	28	10	6	9	12	5	11	13
West Virginia	1.8	1.4	5.4	50.1	4.3	6.3	11.9	12.0	2.8	2.9	19.6	3.6	3.5	82.2	79.8	76.0	65332	732	1.7	123200	49375	48037	2.6	1.5	3.0	0.8	0.1	0.2	7.2	36133	31199	8.6	7.8	6.9	34.2	26.3	0.4	1.8	27346	2.2	0.1	15.8	3.1	0.5	12.7	21.3	1.9	3.9	0.4	29	49	51	51	46	45	51	40	43	48	9	39	16	9	9	7	50	51	51	51	40	50	51	36	50	47	52	50	4	50	47	49	46	8	49	52	34	45	50	48	34	20	51	51	51	51	51	51	46
Wisconsin	2.0	2.4	8.4	63.7	4.2	6.8	12.7	12.2	3.6	4.9	12.3	6.3	2.3	80.6	78.1	74.0	82757	872	3.5	189200	53719	63293	7.5	1.6	5.7	1.3	0.4	0.6	5.5	42789	36540	10.5	8.6	3.5	37.2	32.9	0.7	2.5	34450	4.2	0.2	19.0	5.2	0.8	20.3	30.8	4.6	6.1	0.5	25	28	24	10	50	17	45	32	27	10	42	31	50	19	19	21	29	34	31	30	24	25	20	25	39	38	33	33	13	21	20	36	42	49	35	29	24	35	22	29	25	14	31	39	24	27	36	26	44
Wyoming	1.7	2.5	7.0	62.3	4.6	6.7	13.5	12.6	4.6	3.4	20.6	0.9	2.9	79.4	76.8	72.8	83583	853	2.2	228000	57399	65304	3.3	1.6	8.5	1.9	0.5	0.3	4.8	39978	35388	10.5	6.5	5.9	35.9	29.0	0.8	3.0	34415	4.6	0.2	11.2	5.0	2.7	17.7	28.2	7.0	6.2	0.3	35	26	37	15	25	25	24	17	14	43	6	50	37	37	37	37	27	38	48	25	16	21	48	25	28	29	30	46	20	36	22	36	52	10	40	44	19	30	23	25	25	26	37	12	41	40	27	24	48
