name	rooms_1	rooms_2	rooms_3	employed	in_other	age_20_24	age_25_34	age_35_44	units_3_4	units_5_9	class_govt	race_black	unemployed	age_16_over	age_18_over	age_21_over	income_mean	rent_median	units_10_19	value_median	earnings_male	income_median	units_20_more	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1940_1949	earnings_female	earnings_median	edu_grad_degree	in_professional	in_public_admin	job_bus_sci_art	occupied_renter	ancestry_russian	built_2014_later	income_percapita	units_1_attached	ancestry_ukranian	built_1939_earlier	income_200000_more	value_1000000_more	edu_bachelor_degree	edu_bachelor_higher	value_500000_999999	income_150000_199999	ancestry_subsaharan_african	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_employed	rank_in_other	rank_age_20_24	rank_age_25_34	rank_age_35_44	rank_units_3_4	rank_units_5_9	rank_class_govt	rank_race_black	rank_unemployed	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_income_mean	rank_rent_median	rank_units_10_19	rank_value_median	rank_earnings_male	rank_income_median	rank_units_20_more	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1940_1949	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_in_public_admin	rank_job_bus_sci_art	rank_occupied_renter	rank_ancestry_russian	rank_built_2014_later	rank_income_percapita	rank_units_1_attached	rank_ancestry_ukranian	rank_built_1939_earlier	rank_income_200000_more	rank_value_1000000_more	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_value_500000_999999	rank_income_150000_199999	rank_ancestry_subsaharan_african
Georgia	1.4	1.7	6.3	59.2	4.7	6.8	13.9	13.2	2.9	4.4	14.3	31.6	3.5	78.9	76.2	71.9	85691	1042	4.6	190200	51053	61224	6.5	2.3	12.8	2.9	0.7	0.7	2.6	41521	34603	12.5	12.7	4.8	38.5	36.0	0.4	4.3	32427	4.1	0.1	4.2	7.1	1.5	19.7	32.2	7.4	6.3	1.9	47	45	46	33	19	17	15	9	41	23	26	4	16	43	44	43	22	21	14	29	34	30	25	6	23	26	26	28	47	28	29	19	10	21	24	12	34	15	33	31	34	44	20	23	28	25	25	22	7
Hawaii	5.5	7.4	13.7	58.7	4.3	6.5	14.3	12.7	4.0	6.4	20.4	1.9	2.8	80.9	78.7	75.5	107348	1651	4.8	636400	53956	83173	19.6	1.5	20.6	13.8	9.4	12.4	3.5	45426	39448	11.6	10.3	8.8	35.7	39.7	0.4	2.6	37013	9.0	0.1	3.5	11.3	16.5	21.9	33.6	49.2	10.5	0.2	3	2	3	36	46	39	11	15	22	3	7	44	38	15	15	11	7	1	12	1	23	5	3	36	8	3	1	1	39	18	12	25	25	4	42	5	34	34	16	8	34	46	9	3	14	19	1	3	49
Idaho	1.8	2.4	6.1	60.2	4.6	6.7	13.1	12.6	4.3	2.8	14.6	0.7	2.6	77.5	74.7	70.6	77399	887	2.2	235600	49618	58915	3.8	1.6	7.3	1.4	0.4	0.6	3.8	37128	30843	9.4	9.8	4.9	36.0	29.2	0.5	6.3	29494	3.3	0.3	8.3	4.7	1.5	19.3	28.7	7.9	5.0	0.2	29	28	47	26	25	25	33	17	19	50	23	51	41	50	50	50	39	31	48	22	39	35	46	25	32	36	33	33	35	47	49	43	30	18	39	43	31	4	45	41	16	31	40	23	31	39	21	43	49
Illinois	2.6	2.5	8.3	61.2	4.7	6.6	13.9	12.9	6.4	6.3	12.2	14.1	3.9	80.2	77.5	73.6	95115	1038	3.8	202100	59310	68428	10.8	1.8	13.6	5.3	1.9	1.7	6.1	47045	38645	13.9	12.1	3.7	39.8	33.7	0.9	1.7	37306	5.8	0.4	21.0	8.8	1.8	21.6	35.5	7.6	7.8	1.0	15	26	25	18	19	34	15	11	8	4	45	15	7	29	29	28	15	22	23	26	12	18	12	15	21	15	14	12	9	16	15	12	14	46	18	24	15	48	14	15	10	10	13	20	16	13	22	15	19
Indiana	1.4	1.7	6.5	60.7	4.6	7.1	13.1	12.3	3.5	4.7	10.8	9.4	3.0	79.2	76.5	72.3	76984	844	3.4	148900	52374	58235	4.4	1.4	4.5	1.0	0.3	0.5	5.7	39800	34065	9.9	8.5	3.5	35.1	30.5	0.3	2.9	30693	3.7	0.1	16.8	4.5	0.6	17.3	27.2	3.0	5.2	0.9	47	45	45	22	25	9	33	27	31	14	50	24	34	40	41	41	40	39	33	46	29	36	40	46	42	44	39	40	12	37	33	40	44	49	47	40	42	31	42	37	34	17	43	46	42	43	47	40	26
Iowa	1.4	2.2	7.6	64.3	4.4	7.2	12.6	12.1	3.4	3.6	13.5	3.7	2.6	79.5	76.9	72.5	80316	806	3.9	153900	52790	61836	6.1	1.6	4.5	1.2	0.3	0.7	5.0	41357	35457	9.6	7.4	3.1	37.2	28.8	0.3	3.6	33021	4.1	0.1	25.2	5.0	0.6	19.7	29.3	3.0	5.6	1.0	47	32	28	8	43	6	46	36	33	42	35	38	41	36	35	38	33	46	22	43	27	28	28	25	42	39	39	28	19	29	21	42	48	52	35	45	42	22	26	31	34	7	37	46	28	35	47	32	19
Kansas	2.1	2.2	6.9	63.2	4.5	7.3	13.1	12.3	3.6	3.9	15.8	5.7	2.7	78.5	75.8	71.4	82103	863	3.6	157600	51978	61091	4.8	1.8	6.3	1.5	0.4	0.7	5.5	40776	34481	12.5	9.7	4.5	39.2	33.8	0.6	2.8	32798	4.7	0.1	16.2	5.7	0.8	21.5	33.9	4.1	5.9	0.7	21	32	40	13	34	4	33	27	27	36	14	32	40	45	45	47	31	35	28	42	31	31	37	15	35	34	33	28	13	33	30	19	33	28	20	20	27	32	29	22	34	18	29	39	18	18	40	30	33
Kentucky	1.4	1.6	7.0	55.9	4.5	6.8	13.0	12.4	4.4	4.4	14.3	8.1	3.2	80.0	77.4	73.3	72318	783	3.4	147100	49210	52238	3.2	1.5	3.4	0.7	0.2	0.3	4.3	38782	32148	10.3	8.6	4.3	35.2	32.4	0.2	3.1	29123	2.6	0.1	9.6	4.2	0.7	14.8	25.0	3.4	4.5	0.8	47	47	37	44	34	17	39	25	16	23	26	26	28	31	31	32	46	48	33	47	42	45	49	36	47	50	49	46	29	40	42	39	42	33	46	32	47	29	46	46	34	29	47	44	49	47	43	48	28
Louisiana	1.5	2.1	7.4	54.9	5.1	6.7	14.3	12.6	4.0	3.1	15.2	32.2	3.9	79.1	76.5	72.5	73759	876	2.7	168100	52911	50800	4.8	1.5	6.2	1.6	0.3	0.4	4.0	37701	32723	8.9	9.2	5.3	35.3	33.4	0.2	4.0	29522	2.7	0.0	6.7	4.7	1.0	15.9	24.9	4.2	5.3	1.4	40	36	31	46	8	25	11	17	22	47	19	3	7	41	41	38	45	32	42	38	26	48	37	36	37	32	39	43	33	45	40	46	36	14	45	27	47	19	44	44	50	37	40	34	46	48	38	38	10
Maine	2.7	3.6	9.0	60.3	4.6	5.6	12.0	11.5	5.4	3.7	13.4	1.4	2.5	83.6	81.3	77.8	78301	873	1.6	198000	51630	59489	3.5	1.6	7.8	1.6	0.5	0.6	4.6	42188	34238	12.2	9.2	4.4	38.8	27.1	0.6	2.2	33774	2.3	0.2	23.8	4.9	1.3	20.3	32.5	5.9	5.5	0.8	13	10	17	25	25	52	50	50	11	40	36	47	45	3	3	1	36	33	52	28	33	33	47	25	31	32	30	33	25	24	32	22	36	30	22	51	27	40	24	47	25	8	39	27	24	22	33	35	28
