name	rooms_1	rooms_3	rooms_4	age_35_44	units_5_9	edu_9_less	race_asian	income_mean	rent_median	value_median	grapi_35_more	housing_units	income_median	race_hispanic	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1950_1959	built_1960_1969	in_professional	occupied_renter	popestimate2020	popestimate2021	housing_occupied	class_selfemployed	income_200000_more	value_1000000_more	value_500000_999999	income_150000_199999	rank_rooms_1	rank_rooms_3	rank_rooms_4	rank_age_35_44	rank_units_5_9	rank_edu_9_less	rank_race_asian	rank_income_mean	rank_rent_median	rank_value_median	rank_grapi_35_more	rank_housing_units	rank_income_median	rank_race_hispanic	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1950_1959	rank_built_1960_1969	rank_in_professional	rank_occupied_renter	rank_popestimate2020	rank_popestimate2021	rank_housing_occupied	rank_class_selfemployed	rank_income_200000_more	rank_value_1000000_more	rank_value_500000_999999	rank_income_150000_199999
Indiana	1.4	6.5	13.7	12.3	4.7	3.6	2.4	76984	844	148900	37.2	2903720	58235	7.1	1.4	4.5	1.0	0.3	0.5	10.9	11.0	8.5	30.5	6785644	6805985	89.6	4.5	4.5	0.6	3.0	5.2	47	45	45	27	14	27	31	40	39	46	32	17	36	33	46	42	44	39	40	14	18	44	40	17	17	17	49	43	46	47	40
Iowa	1.4	7.6	14.7	12.1	3.6	2.9	2.5	80316	806	153900	34.7	1407819	61836	6.2	1.6	4.5	1.2	0.3	0.7	10.1	10.1	7.4	28.8	3188669	3193079	90.5	6.4	5.0	0.6	3.0	5.6	47	28	37	36	42	37	29	33	46	43	46	31	28	35	25	42	39	39	28	17	23	48	45	32	32	9	18	37	46	47	32
Kansas	2.1	6.9	13.6	12.3	3.9	3.5	3.0	82103	863	157600	34.2	1280376	61091	12.1	1.8	6.3	1.5	0.4	0.7	12.6	10.2	9.7	33.8	2935880	2934582	89.2	6.1	5.7	0.8	4.1	5.9	21	40	46	27	36	28	24	31	35	42	48	34	31	18	15	35	34	33	28	8	22	33	20	36	36	19	23	29	39	40	30
Kentucky	1.4	7.0	15.9	12.4	4.4	5.0	1.5	72318	783	147100	35.0	1994554	52238	3.8	1.5	3.4	0.7	0.2	0.3	9.1	10.7	8.6	32.4	4503958	4509394	87.6	5.2	4.2	0.7	3.4	4.5	47	37	22	25	23	7	42	46	48	47	42	26	45	48	36	47	50	49	46	25	20	42	32	26	26	29	38	47	44	43	48
Louisiana	1.5	7.4	17.0	12.6	3.1	4.7	1.7	73759	876	168100	45.2	2074664	50800	5.2	1.5	6.2	1.6	0.3	0.4	9.3	12.5	9.2	33.4	4651203	4624047	84.4	6.2	4.7	1.0	4.2	5.3	40	31	11	17	47	8	37	45	32	38	3	25	48	39	36	37	32	39	43	24	6	36	27	25	25	41	21	40	34	38	38
Maine	2.7	9.0	16.5	11.5	3.7	2.3	1.1	78301	873	198000	35.5	746793	59489	1.7	1.6	7.8	1.6	0.5	0.6	7.2	6.9	9.2	27.1	1362280	1372247	76.3	8.4	4.9	1.3	5.9	5.5	13	17	16	50	40	47	47	36	33	28	41	40	33	51	25	31	32	30	33	40	50	36	51	43	43	52	3	39	27	33	35
Maryland	1.7	7.5	12.8	12.9	5.0	3.9	6.4	114236	1415	325400	40.3	2459650	87063	10.3	1.9	27.1	10.8	3.6	2.5	11.3	11.5	15.8	32.9	6172679	6165129	90.7	5.0	13.4	3.2	17.8	10.8	35	30	50	11	9	22	9	5	4	9	12	20	2	24	12	1	6	9	9	13	12	3	29	18	19	8	40	4	10	11	1
Massachusetts	2.6	10.0	15.7	12.2	5.8	4.2	6.8	115964	1336	398800	39.1	2913009	84385	12.0	2.2	20.2	11.4	5.3	5.0	11.4	10.1	14.4	37.5	7022220	6984723	90.9	5.7	14.3	6.5	27.8	10.6	15	10	26	32	6	17	7	3	7	4	20	16	4	19	7	9	4	4	5	12	23	4	8	15	15	5	28	3	5	4	2
Michigan	1.5	7.2	13.8	11.7	4.1	2.7	3.2	80803	892	162600	39.8	4611913	59234	5.2	1.3	6.6	1.8	0.6	0.8	14.7	11.8	9.7	28.3	10067664	10050811	86.3	5.0	5.7	0.9	4.1	5.9	40	33	42	46	32	41	22	32	30	41	17	9	34	39	49	34	31	28	24	1	9	33	49	10	10	32	40	29	35	40	30
Minnesota	2.1	8.8	13.5	12.7	2.2	2.8	4.9	96814	1010	235700	36.0	2458030	73382	5.5	1.6	13.6	3.6	1.1	1.1	9.7	9.4	10.0	28.1	5707165	5707390	89.8	5.4	8.5	1.2	7.6	8.2	21	20	47	15	52	39	12	14	24	21	35	21	14	38	25	21	19	18	15	21	31	28	50	22	22	16	35	15	31	22	14
Mississippi	1.5	5.7	14.8	12.5	4.2	4.7	1.0	65156	789	125500	40.2	1330867	46511	3.2	1.2	3.4	0.6	0.2	0.1	7.4	11.5	6.9	31.2	2956870	2949965	83.9	5.5	3.4	0.6	2.4	4.1	40	49	36	21	28	8	48	51	47	50	14	33	51	49	51	47	51	49	52	37	12	49	37	35	35	44	32	50	46	50	49
Missouri	1.8	7.3	15.1	12.2	3.8	2.9	2.0	78194	843	163600	36.0	2804664	57290	4.3	1.8	4.9	1.2	0.4	0.5	10.0	11.4	9.8	32.9	6154481	6168187	87.0	5.6	5.2	0.9	4.2	5.3	29	32	33	32	39	37	35	37	40	40	35	18	39	42	15	41	39	33	40	19	14	30	29	19	18	30	30	31	35	38	38
Montana	3.0	8.8	16.3	12.0	2.8	1.7	0.8	76834	836	244900	35.7	514956	56539	3.9	1.6	6.2	1.5	0.4	0.8	9.0	8.4	8.8	31.5	1086193	1104271	84.7	8.6	4.7	2.4	9.5	5.4	9	20	17	40	50	51	49	42	41	19	38	44	41	45	25	37	34	33	24	26	42	40	36	45	44	38	2	40	15	16	36
Nebraska	1.7	7.8	13.8	12.5	4.0	3.8	2.5	82306	857	164000	32.9	844248	63015	11.2	1.8	5.6	1.1	0.3	0.9	9.5	11.1	8.9	33.8	1961455	1963692	90.8	6.2	5.2	0.7	3.3	6.1	35	27	42	21	33	25	29	30	36	39	49	39	26	20	15	40	42	39	21	23	17	39	20	38	38	7	21	31	44	44	26
Nevada	3.3	10.4	17.7	13.3	7.5	5.3	8.3	84350	1159	290200	40.8	1268533	62043	28.9	1.5	17.9	4.0	0.9	0.7	2.8	5.8	11.5	42.9	3114071	3143991	89.1	5.5	5.9	2.4	11.3	6.2	8	6	7	7	1	5	6	25	15	12	11	35	27	6	36	14	18	22	28	52	52	18	4	33	33	20	32	28	15	14	24
New Hampshire	1.8	8.8	16.3	11.5	4.6	2.2	2.7	101292	1145	272300	36.6	638611	77923	3.9	1.9	17.0	4.3	1.5	0.8	6.9	8.7	11.2	28.8	1377848	1388992	84.4	6.6	9.7	1.5	9.2	9.2	29	20	17	50	16	48	28	11	17	17	33	42	8	45	12	16	16	16	24	42	38	20	45	42	42	41	14	11	23	19	9
New Jersey	2.5	10.1	15.2	12.8	4.7	4.7	9.7	117868	1368	343500	41.7	3628732	85245	20.4	2.6	23.4	9.2	3.9	3.5	14.7	13.3	13.7	36.0	9279743	9267130	90.2	4.6	14.8	3.7	20.9	10.4	17	9	30	13	14	8	3	2	5	7	8	11	3	9	5	4	9	6	6	1	4	7	12	11	11	14	47	2	9	8	4
New Mexico	2.8	7.6	17.3	12.1	2.9	5.6	1.6	70241	857	175700	39.7	943568	51243	49.2	1.4	6.7	1.4	0.3	0.3	9.6	9.9	11.6	32.0	2117566	2115877	84.0	6.5	4.1	1.3	5.1	4.7	12	28	8	36	48	4	38	48	36	35	19	37	47	2	46	33	36	39	46	22	29	17	34	37	37	43	16	48	27	34	47
New York	4.1	14.9	18.4	12.4	5.1	6.0	8.6	105304	1315	325000	42.4	8362971	71117	19.1	2.8	19.3	9.8	4.7	6.9	14.6	12.5	12.2	45.9	20154933	19835913	88.7	5.7	11.5	8.2	22.5	8.4	4	2	6	25	8	3	5	9	9	10	6	4	15	10	3	11	8	5	4	4	6	13	2	4	4	22	28	8	4	7	13
North Carolina	1.6	7.2	16.6	12.6	4.2	4.3	3.0	79620	932	182100	37.9	4687122	56642	9.5	1.7	8.6	1.9	0.5	0.6	6.9	8.6	11.2	34.3	10457177	10551162	86.0	5.6	6.0	1.3	6.5	5.4	39	33	15	17	28	16	24	34	27	33	27	8	40	27	20	27	29	30	33	42	40	20	16	9	9	33	30	25	27	29	36
North Dakota	2.9	9.6	16.9	11.9	3.9	2.7	1.6	85506	828	199900	31.6	376597	65315	4.0	1.2	6.3	1.1	0.4	0.6	8.6	8.7	6.6	37.5	778962	774948	85.2	7.4	6.0	0.9	5.0	6.3	11	14	13	43	36	41	38	23	42	27	51	48	20	44	51	35	42	33	33	29	38	50	8	48	48	36	7	25	35	35	22
Ohio	1.4	6.9	13.3	12.0	4.6	2.7	2.3	78797	825	151400	35.6	5217090	58116	3.9	1.5	4.5	1.2	0.3	0.5	14.0	12.0	9.8	33.7	11790587	11780017	90.4	4.8	5.2	0.6	3.2	5.6	47	40	49	40	16	41	32	35	43	44	40	7	37	45	36	42	39	39	40	5	8	30	24	7	7	11	44	31	46	45	32
Oklahoma	1.8	7.2	15.3	12.5	3.7	3.9	2.2	74195	818	142400	35.7	1740972	53840	10.9	1.6	4.5	0.9	0.3	0.4	10.1	11.3	8.7	33.9	3962031	3986639	85.8	6.5	4.5	0.8	3.1	4.8	29	33	29	21	40	22	34	44	44	48	38	28	44	22	25	42	45	39	43	17	15	41	18	28	28	34	16	43	39	46	46
