name	units_2	age_45_54	units_3_4	units_5_9	age_16_over	age_18_over	grapi_30_34	income_mean	rent_median	value_median	ancestry_arab	earnings_male	income_median	ancestry_greek	ancestry_irish	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	earnings_female	earnings_median	edu_grad_degree	in_professional	job_bus_sci_art	ancestry_italian	ancestry_russian	housing_occupied	income_percapita	built_1939_earlier	income_200000_more	ancestry_lithuanian	ancestry_portuguese	edu_bachelor_degree	edu_bachelor_higher	in_education_health	value_300000_499999	value_500000_999999	ancestry_west_indian	income_150000_199999	ancestry_frenchcanadian	ancestry_subsaharan_african	rank_units_2	rank_age_45_54	rank_units_3_4	rank_units_5_9	rank_age_16_over	rank_age_18_over	rank_grapi_30_34	rank_income_mean	rank_rent_median	rank_value_median	rank_ancestry_arab	rank_earnings_male	rank_income_median	rank_ancestry_greek	rank_ancestry_irish	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_job_bus_sci_art	rank_ancestry_italian	rank_ancestry_russian	rank_housing_occupied	rank_income_percapita	rank_built_1939_earlier	rank_income_200000_more	rank_ancestry_lithuanian	rank_ancestry_portuguese	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_in_education_health	rank_value_300000_499999	rank_value_500000_999999	rank_ancestry_west_indian	rank_income_150000_199999	rank_ancestry_frenchcanadian	rank_ancestry_subsaharan_african
Maryland	1.5	13.5	2.2	5.0	80.3	77.8	8.9	114236	1415	325400	0.6	66093	87063	0.5	9.8	27.1	10.8	3.6	2.5	56623	45841	19.1	15.8	47.2	4.8	1.1	90.7	43352	11.6	13.4	0.3	0.2	21.8	40.9	23.7	34.3	17.8	1.5	10.8	0.3	4.3	50	4	50	9	26	24	27	5	4	9	13	5	2	8	30	1	6	9	9	3	2	3	3	3	16	9	8	5	25	4	7	17	15	4	27	6	11	6	1	27	1
Massachusetts	9.7	13.3	10.7	5.8	82.6	80.2	9.8	115964	1336	398800	1.0	71096	84385	1.1	19.7	20.2	11.4	5.3	5.0	57737	44845	20.0	14.4	48.0	12.0	1.4	90.9	45555	31.9	14.3	0.7	4.0	24.5	44.5	28.2	35.6	27.8	2.0	10.6	3.6	2.2	3	7	2	6	7	7	3	3	7	4	3	2	4	2	2	9	4	4	5	2	3	2	4	2	4	5	5	3	2	3	1	2	4	2	3	4	4	4	2	5	6
Michigan	2.3	12.9	2.6	4.1	80.9	78.3	8.7	80803	892	162600	2.0	54763	59234	0.4	10.2	6.6	1.8	0.6	0.8	42471	33534	11.7	9.7	37.6	4.5	0.6	86.3	32854	14.6	5.7	0.3	0.1	18.3	30.0	23.4	13.5	4.1	0.2	5.9	1.5	0.8	28	15	48	32	15	17	38	32	30	41	1	21	34	13	25	34	31	28	24	22	35	23	33	30	17	27	32	27	21	29	7	29	37	32	28	38	40	20	30	8	28
Minnesota	2.1	12.4	2.0	2.2	79.4	76.8	9.4	96814	1010	235700	0.5	59850	73382	0.2	10.0	13.6	3.6	1.1	1.1	48961	40505	12.6	10.0	42.2	2.2	0.7	89.8	38881	16.1	8.5	0.1	0.1	24.2	36.8	25.5	23.6	7.6	0.2	8.2	1.0	2.9	32	30	52	52	37	37	11	14	24	21	17	11	14	31	29	21	19	18	15	11	10	18	28	11	38	24	16	11	19	15	22	29	5	11	11	20	22	20	14	9	4
Mississippi	2.5	12.3	3.1	4.2	79.0	76.3	8.8	65156	789	125500	0.3	45599	46511	0.1	6.8	3.4	0.6	0.2	0.1	34304	30484	8.9	6.9	33.1	1.8	0.1	83.9	25444	4.5	3.4	0.0	0.0	13.8	22.8	25.4	7.3	2.4	0.1	4.1	0.2	0.7	23	33	38	28	42	43	35	51	47	50	31	50	51	45	45	47	51	49	52	51	50	46	49	50	45	49	44	51	42	50	46	51	50	50	12	51	50	36	49	35	33
Missouri	3.3	12.3	4.6	3.8	80.1	77.5	8.5	78194	843	163600	0.4	50942	57290	0.2	12.3	4.9	1.2	0.4	0.5	40176	33811	11.5	9.8	37.9	3.3	0.4	87.0	31839	13.8	5.2	0.1	0.1	18.4	29.9	24.1	12.8	4.2	0.1	5.3	0.2	0.7	15	33	14	39	30	29	44	37	40	40	22	35	39	31	14	41	39	33	40	35	34	27	30	27	28	34	30	37	22	31	22	29	36	34	23	39	38	36	38	35	33
Montana	2.8	11.4	4.4	2.8	80.9	78.5	8.9	76834	836	244900	0.1	49939	56539	0.2	13.6	6.2	1.5	0.4	0.8	38332	31067	10.9	8.8	37.5	3.6	0.8	84.7	32463	13.6	4.7	0.1	0.2	22.2	33.1	23.2	24.3	9.5	0.1	5.4	0.8	0.1	20	47	16	50	15	16	27	42	41	19	49	38	41	31	9	37	34	33	24	42	48	32	40	33	24	19	38	32	23	40	22	17	11	20	33	17	16	36	36	12	51
Nebraska	2.0	11.5	2.6	4.0	78.0	75.3	8.6	82306	857	164000	0.4	52186	63015	0.2	11.9	5.6	1.1	0.3	0.9	40911	35283	11.1	8.9	38.8	2.6	0.5	90.8	33205	20.1	5.2	0.1	0.1	21.4	32.5	24.5	12.6	3.3	0.1	6.1	0.3	1.0	37	44	48	33	48	48	40	30	36	39	22	30	26	31	15	40	42	39	21	31	23	31	39	22	36	31	7	25	11	31	22	29	19	22	19	41	44	36	26	27	19
Nevada	1.4	13.0	6.5	7.5	79.8	77.3	9.2	84350	1159	290200	0.4	48506	62043	0.4	8.1	17.9	4.0	0.9	0.7	41103	34822	8.8	11.5	30.9	5.2	0.8	89.1	32629	1.1	5.9	0.1	0.6	16.6	25.5	16.3	33.3	11.3	0.3	6.2	0.4	1.3	51	13	7	1	32	32	16	25	15	12	22	47	27	13	39	14	18	22	28	30	27	48	18	52	14	19	20	30	52	28	22	8	44	46	52	7	14	16	24	21	13
New Hampshire	5.6	14.0	5.4	4.6	83.4	81.0	9.7	101292	1145	272300	0.7	61507	77923	1.4	20.6	17.0	4.3	1.5	0.8	49178	40797	14.5	11.2	41.9	10.1	0.9	84.4	41234	19.8	9.7	0.5	1.5	23.0	37.6	24.7	30.7	9.2	0.3	9.2	8.7	0.6	7	1	11	16	5	5	5	11	17	17	10	8	8	1	1	16	16	16	24	10	8	10	20	12	7	15	41	7	13	11	4	4	7	9	15	10	19	16	9	1	40
New Jersey	9.0	13.9	6.3	4.7	80.6	78.0	8.9	117868	1368	343500	1.2	69629	85245	0.7	13.3	23.4	9.2	3.9	3.5	54975	44780	15.9	13.7	44.2	15.0	1.7	90.2	44153	18.1	14.8	0.3	0.9	24.8	40.7	24.1	34.5	20.9	1.9	10.4	0.2	1.3	4	2	9	14	19	20	27	2	5	7	2	3	3	4	10	4	9	6	6	5	4	8	7	6	3	3	14	4	15	2	7	6	3	5	23	5	8	5	4	35	13
New Mexico	1.9	11.5	3.8	2.9	79.7	76.9	8.7	70241	857	175700	0.3	46369	51243	0.2	6.1	6.7	1.4	0.3	0.3	37898	30357	12.3	11.6	37.8	2.2	0.4	84.0	27945	4.4	4.1	0.1	0.2	15.8	28.1	25.7	14.2	5.1	0.1	4.7	0.3	0.4	42	44	26	48	34	35	38	48	36	35	31	48	47	31	47	33	36	39	46	43	51	21	17	28	38	34	43	48	43	48	22	17	47	42	10	37	34	36	47	27	46
New York	10.1	13.1	6.9	5.1	81.5	79.1	9.1	105304	1315	325000	0.9	60871	71117	0.7	11.1	19.3	9.8	4.7	6.9	52668	41119	16.5	12.2	42.6	11.9	1.8	88.7	40898	31.7	11.5	0.2	0.3	20.9	37.5	28.3	22.3	22.5	4.0	8.4	0.6	1.4	2	11	6	8	13	13	21	9	9	10	4	10	15	4	19	11	8	5	4	6	7	6	13	10	5	2	22	8	3	8	14	14	22	10	2	22	7	2	13	15	10
North Carolina	2.0	13.2	2.7	4.2	80.4	77.8	8.9	79620	932	182100	0.4	48869	56642	0.3	8.0	8.6	1.9	0.5	0.6	40819	33219	11.6	11.2	38.9	3.2	0.4	86.0	31993	5.1	6.0	0.1	0.2	20.4	32.0	22.8	16.8	6.5	0.5	5.4	0.4	1.3	37	8	45	28	22	24	27	34	27	33	22	44	40	20	40	27	29	30	33	32	38	25	20	21	29	34	33	36	39	25	22	17	23	26	35	32	29	13	36	21	13
North Dakota	2.1	10.6	3.5	3.9	78.9	76.6	7.0	85506	828	199900	0.4	54353	65315	0.1	7.4	6.3	1.1	0.4	0.6	42337	38165	8.6	6.6	38.3	1.2	2.6	85.2	36289	12.5	6.0	0.0	0.1	22.1	30.7	26.0	17.6	5.0	0.2	6.3	0.9	1.5	32	51	31	36	43	40	52	23	42	27	22	22	20	45	42	35	42	33	33	23	17	49	50	25	50	1	36	18	24	25	46	29	13	28	9	27	35	20	22	10	8
Ohio	4.1	12.7	4.4	4.6	80.4	77.8	8.5	78797	825	151400	0.7	53293	58116	0.5	12.7	4.5	1.2	0.3	0.5	41886	34649	10.9	9.8	37.6	6.1	0.6	90.4	32465	20.0	5.2	0.2	0.1	17.9	28.9	24.2	10.9	3.2	0.2	5.6	0.2	1.2	13	24	16	16	22	24	44	35	43	44	10	25	37	8	13	42	39	39	40	26	28	32	30	30	10	27	11	31	12	31	14	29	39	38	22	45	45	20	32	35	17
Oklahoma	1.9	11.7	2.7	3.7	78.4	75.8	8.3	74195	818	142400	0.3	49185	53840	0.1	10.2	4.5	0.9	0.3	0.4	36821	32256	9.0	8.7	35.6	1.7	0.3	85.8	29873	7.5	4.5	0.0	0.1	17.2	26.1	22.6	9.3	3.1	0.4	4.8	0.2	0.6	42	42	45	40	46	45	48	44	44	48	31	43	44	45	25	42	45	39	43	48	41	45	41	44	47	42	34	43	34	43	46	29	43	45	37	48	46	14	46	35	40
Oregon	2.6	12.3	4.3	4.4	81.6	79.2	9.4	88137	1173	336700	0.5	54792	65667	0.3	11.0	18.1	5.8	1.6	1.2	44809	35166	13.1	11.3	40.4	3.7	1.0	91.8	35393	11.2	7.2	0.1	0.5	21.3	34.4	23.4	36.7	18.8	0.1	7.0	0.6	0.6	22	33	19	23	12	12	11	20	14	8	17	20	19	20	20	13	14	15	14	19	25	15	19	15	23	13	3	21	26	19	22	10	20	17	28	2	9	36	19	15	40
Pennsylvania	4.3	12.9	4.0	3.2	81.7	79.3	8.6	87262	958	187500	0.6	56266	63627	0.5	15.5	10.1	3.1	1.1	1.0	44779	36987	12.8	10.6	39.9	11.2	1.3	89.4	35518	25.9	7.1	0.5	0.2	19.5	32.3	26.2	17.1	6.3	0.7	6.7	0.2	1.0	12	15	22	46	11	11	40	21	26	31	13	18	23	8	6	26	24	18	18	20	19	17	22	17	6	7	18	20	5	20	4	17	30	24	8	30	30	11	21	35	19
Puerto Rico	3.2	13.1	3.0	4.4	83.8	81.2	8.6	33315	486	111200	null	24088	21058	null	null	1.2	0.5	0.2	0.2	24385	17422	null	10.2	32.9	null	null	77.3	13318	2.0	1.0	null	null	null	null	23.1	3.3	1.0	null	0.9	null	null	16	11	40	23	1	4	40	52	52	52		52	52			52	52	49	50	52	52		26	51			51	52	49	52					34	52	52		52		
Rhode Island	11.3	13.2	12.0	4.8	83.0	80.6	9.4	92427	1031	276600	0.8	59194	70305	0.7	17.2	12.6	3.3	1.0	1.0	47939	39410	14.0	10.6	40.5	16.3	0.8	88.4	37504	30.3	7.7	0.3	8.0	21.0	35.0	27.4	30.2	10.4	0.9	7.8	5.0	3.1	1	8	1	12	6	6	11	17	23	15	6	13	16	4	3	24	22	21	18	14	13	11	22	14	2	19	24	13	4	17	7	1	21	14	6	11	15	10	15	4	3
South Carolina	1.8	12.7	2.7	4.2	80.8	78.2	9.1	76390	918	170100	0.3	48718	54864	0.3	8.6	8.1	2.0	0.7	0.7	37883	31942	10.8	10.5	35.8	3.0	0.4	84.6	30727	3.9	5.1	0.1	0.2	18.2	29.0	22.1	14.4	6.1	0.4	5.2	0.4	1.0	45	24	45	28	18	18	21	43	28	37	31	45	42	20	36	30	27	26	28	44	45	34	24	41	32	34	39	41	45	35	22	17	38	37	42	36	32	14	40	21	19
South Dakota	1.9	11.0	3.6	3.9	78.1	75.5	8.6	77932	761	174600	0.2	49358	59896	0.1	10.1	3.4	0.8	0.3	0.6	38586	33511	9.2	6.6	37.3	1.2	1.1	87.7	31415	17.4	4.4	0.0	0.1	20.1	29.3	24.0	14.7	4.3	0.1	5.1	0.4	1.0	42	49	27	36	47	47	40	38	49	36	45	41	32	45	27	47	47	39	33	41	36	44	50	34	50	9	28	38	16	45	46	29	26	35	26	35	37	36	42	21	19
Tennessee	2.7	13.0	3.1	4.6	80.3	77.7	9.2	76937	897	177600	0.6	48607	54833	0.2	9.3	8.2	2.0	0.6	0.6	39132	32742	10.4	9.9	36.3	2.3	0.3	88.1	30869	5.8	5.1	0.1	0.1	17.8	28.2	22.6	15.4	6.2	0.2	4.9	0.2	1.2	21	13	38	16	26	27	16	41	29	34	13	46	43	31	33	29	27	28	33	39	39	38	29	38	37	42	25	40	38	35	22	29	40	40	37	34	31	20	44	35	17
Texas	1.8	12.4	3.3	4.6	77.1	74.2	9.2	89506	1082	187200	0.5	51949	63826	0.2	6.1	14.4	4.2	1.2	1.0	41687	35003	10.8	11.7	37.8	1.8	0.3	89.1	32177	3.5	7.8	0.1	0.1	19.9	30.7	21.8	17.0	6.6	0.3	7.0	0.2	1.4	45	30	36	16	51	51	16	19	20	32	17	32	22	31	47	20	17	17	18	27	26	34	15	28	45	42	20	35	46	16	22	29	27	28	44	31	28	16	19	35	10
Utah	2.5	10.3	4.2	3.4	73.8	70.6	9.7	94452	1090	305400	0.3	56374	74197	0.4	5.9	15.2	3.5	0.8	0.9	40326	33419	11.7	12.7	39.7	2.8	0.4	90.4	30986	6.8	7.0	0.1	0.2	23.0	34.7	22.4	35.8	13.3	0.1	7.8	0.2	0.5	23	52	21	43	52	52	5	16	19	11	31	17	13	13	49	18	21	24	21	34	37	23	10	19	33	34	11	39	36	22	22	17	7	15	39	3	12	36	15	35	44
Vermont	5.5	12.9	6.3	4.8	83.8	81.5	9.5	83767	999	230900	0.3	52486	63477	0.4	16.5	12.1	3.3	0.9	0.9	45695	35246	16.1	9.1	43.1	7.3	1.1	77.9	35854	25.5	6.0	0.4	0.4	23.5	39.7	28.7	23.0	7.2	0.2	6.1	7.9	0.6	9	15	9	12	1	2	8	26	25	24	31	28	24	13	5	25	22	22	21	17	24	7	38	8	9	9	50	19	6	25	6	11	6	7	1	21	26	20	26	2	40
Virginia	1.6	13.2	2.8	4.6	80.5	78.0	9.1	106023	1257	282800	0.9	61123	76398	0.4	9.0	20.8	9.2	3.7	3.1	48894	40573	17.2	15.9	45.3	3.9	0.5	90.0	41255	7.3	11.6	0.2	0.2	22.4	39.5	22.2	25.4	18.0	0.6	9.0	0.4	2.3	47	8	43	16	21	20	21	8	10	13	4	9	11	13	35	7	9	7	8	12	9	5	2	4	22	31	15	6	35	7	14	17	10	8	41	16	10	12	10	21	5
