name	employed	age_45_54	age_55_59	age_60_64	age_65_74	median_age	race_white	age_16_over	age_18_over	age_21_over	grapi_20_24	grapi_25_29	grapi_30_34	income_median	ancestry_greek	ancestry_irish	rent_1000_1499	ancestry_french	built_1980_1989	ancestry_english	ancestry_italian	income_percapita	ancestry_scottish	ancestry_lithuanian	edu_bachelor_degree	value_200000_299999	value_300000_499999	income_100000_149999	income_150000_199999	edu_highschool_higher	ancestry_frenchcanadian	rank_employed	rank_age_45_54	rank_age_55_59	rank_age_60_64	rank_age_65_74	rank_median_age	rank_race_white	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_grapi_20_24	rank_grapi_25_29	rank_grapi_30_34	rank_income_median	rank_ancestry_greek	rank_ancestry_irish	rank_rent_1000_1499	rank_ancestry_french	rank_built_1980_1989	rank_ancestry_english	rank_ancestry_italian	rank_income_percapita	rank_ancestry_scottish	rank_ancestry_lithuanian	rank_edu_bachelor_degree	rank_value_200000_299999	rank_value_300000_499999	rank_income_100000_149999	rank_income_150000_199999	rank_edu_highschool_higher	rank_ancestry_frenchcanadian
Indiana	60.7	12.5	6.7	6.3	9.2	37.8	82.3	79.2	76.5	72.3	12.9	11.7	8.9	58235	0.3	10.4	23.9	2.0	9.9	8.7	2.7	30693	1.7	0.1	17.3	17.4	10.3	14.7	5.2	89.3	0.2	22	28	25	32	36	36	17	40	41	41	29	24	27	36	20	24	40	24	42	23	35	42	23	22	42	42	47	34	40	32	35
Iowa	64.3	11.8	6.7	6.5	9.5	38.3	89.1	79.5	76.9	72.5	14.1	11.2	8.0	61836	0.2	13.0	20.9	1.8	7.4	8.1	2.0	33021	1.5	0.1	19.7	19.3	11.6	15.9	5.6	92.5	0.2	8	41	25	19	30	28	6	36	35	38	5	44	51	28	31	11	47	30	51	28	43	26	32	22	28	34	43	24	32	11	35
Kansas	63.2	11.6	6.5	6.3	9.0	36.9	83.0	78.5	75.8	71.4	14.1	11.5	9.0	61091	0.2	11.3	26.1	2.3	11.6	10.2	2.1	32798	1.9	0.1	21.5	19.0	12.7	15.1	5.9	91.4	0.3	13	43	34	32	42	41	15	45	45	47	5	36	24	31	31	17	33	18	35	14	41	29	19	22	18	37	40	29	30	18	27
Kentucky	55.9	12.9	6.9	6.5	9.8	39.0	86.2	80.0	77.4	73.3	12.6	11.7	8.2	52238	0.1	11.2	20.9	1.5	12.5	11.0	2.0	29123	1.9	0.1	14.8	17.0	10.4	13.0	4.5	87.2	0.2	44	15	18	19	21	21	9	31	31	32	39	24	50	45	45	18	47	40	29	10	43	46	19	22	49	43	46	46	48	42	35
Louisiana	54.9	12.1	6.6	6.4	9.3	37.2	61.2	79.1	76.5	72.5	10.8	9.8	8.9	50800	0.1	6.5	26.8	10.8	14.6	5.5	4.3	29522	1.0	0.0	15.9	21.3	12.6	13.0	5.3	85.9	2.8	46	37	32	25	34	39	45	41	41	38	52	51	27	48	45	46	29	3	20	46	18	44	47	46	46	26	41	46	38	48	6
Maine	60.3	13.4	8.0	7.8	12.3	44.8	93.7	83.6	81.3	77.8	13.4	15.2	10.2	59489	0.5	16.7	27.7	13.3	14.3	19.0	5.7	33774	4.5	0.3	20.3	24.7	17.5	15.0	5.5	93.2	7.7	25	5	2	1	1	1	1	3	3	1	22	1	1	33	8	4	27	1	22	2	12	24	1	7	24	16	28	31	35	6	3
Maryland	63.5	13.5	7.1	6.4	9.1	38.8	54.2	80.3	77.8	74.0	13.8	12.3	8.9	87063	0.5	9.8	33.4	1.4	15.1	7.3	4.8	43352	1.4	0.3	21.8	23.7	34.3	19.3	10.8	90.6	0.3	12	4	9	25	39	24	50	26	24	21	12	9	27	2	8	30	15	45	14	34	16	5	35	7	15	18	6	2	1	26	27
Massachusetts	63.7	13.3	7.1	6.5	9.5	39.6	76.6	82.6	80.2	75.7	12.8	12.3	9.8	84385	1.1	19.7	25.8	5.6	10.8	9.3	12.0	45555	2.0	0.7	24.5	17.9	35.6	18.0	10.6	91.1	3.6	10	7	9	19	30	15	26	7	7	8	35	9	3	4	2	2	34	6	40	19	4	3	16	1	4	40	4	10	2	21	5
Michigan	57.7	12.9	7.1	6.9	10.1	39.8	77.6	80.9	78.3	74.2	12.6	11.4	8.7	59234	0.4	10.2	28.1	3.7	9.9	8.8	4.5	32854	2.1	0.3	18.3	19.6	13.5	14.6	5.9	91.3	1.5	40	15	9	6	15	13	24	15	17	19	39	41	38	34	13	25	25	8	42	22	17	27	14	7	37	33	38	35	30	19	8
Minnesota	66.5	12.4	7.0	6.4	9.1	38.1	81.6	79.4	76.8	73.0	14.0	12.5	9.4	73382	0.2	10.0	31.2	3.1	12.6	5.6	2.2	38881	1.2	0.1	24.2	28.8	23.6	18.3	8.2	93.4	1.0	3	30	14	25	39	32	18	37	37	34	7	6	11	14	31	29	18	11	27	44	38	11	42	22	5	5	20	6	14	4	9
Mississippi	52.7	12.3	6.5	6.3	9.5	37.7	58.0	79.0	76.3	71.8	12.7	11.6	8.8	46511	0.1	6.8	21.8	2.2	14.3	7.3	1.8	25444	1.4	0.0	13.8	15.7	7.3	11.2	4.1	85.3	0.2	50	33	34	32	30	38	47	42	43	44	38	28	35	51	45	45	46	21	22	34	45	51	35	46	50	45	51	51	49	49	35
Missouri	59.8	12.3	7.0	6.5	9.7	38.7	81.3	80.1	77.5	73.5	13.3	11.6	8.5	57290	0.2	12.3	25.4	2.7	12.0	9.1	3.3	31839	1.7	0.1	18.4	19.8	12.8	14.2	5.3	90.6	0.2	27	33	14	19	24	26	20	30	29	30	24	28	44	39	31	14	37	15	33	20	28	37	23	22	36	32	39	38	38	26	35
Montana	60.5	11.4	7.0	7.3	11.3	40.1	87.8	80.9	78.5	74.6	12.9	11.9	8.9	56539	0.2	13.6	25.2	3.2	11.2	11.6	3.6	32463	3.0	0.1	22.2	26.0	24.3	13.8	5.4	94.0	0.8	24	47	14	4	4	10	8	15	16	16	29	18	27	41	31	9	38	10	37	7	24	32	7	22	11	14	17	39	36	1	12
Nebraska	66.6	11.5	6.3	6.3	8.9	36.6	85.3	78.0	75.3	71.1	13.8	11.5	8.6	63015	0.2	11.9	25.6	2.0	9.4	8.0	2.6	33205	1.4	0.1	21.4	20.5	12.6	15.9	6.1	91.6	0.3	2	44	44	32	44	46	11	48	48	49	12	36	40	26	31	15	36	24	47	29	36	25	35	22	19	30	41	24	26	17	27
Nevada	58.9	13.0	6.5	5.9	9.7	38.2	62.1	79.8	77.3	73.9	13.2	11.6	9.2	62043	0.4	8.1	41.0	1.9	15.1	7.3	5.2	32629	1.5	0.1	16.6	28.6	33.3	15.4	6.2	86.9	0.4	35	13	34	46	24	31	44	32	32	23	28	28	16	27	13	39	2	27	14	34	14	30	32	22	44	7	7	28	24	45	21
New Hampshire	64.6	14.0	8.2	7.4	10.9	43.0	92.0	83.4	81.0	76.8	14.5	13.2	9.7	77923	1.4	20.6	39.8	12.0	19.6	16.9	10.1	41234	4.1	0.5	23.0	29.8	30.7	18.9	9.2	93.3	8.7	7	1	1	3	8	2	4	5	5	4	2	3	5	8	1	1	3	2	3	5	7	7	4	4	7	3	10	5	9	5	1
New Jersey	61.8	13.9	7.2	6.4	9.2	40.0	65.5	80.6	78.0	74.4	12.8	11.6	8.9	85245	0.7	13.3	37.8	1.1	11.8	4.8	15.0	44153	1.0	0.3	24.8	21.5	34.5	17.8	10.4	90.3	0.2	16	2	6	25	36	11	41	19	20	17	35	28	27	3	4	10	7	51	34	49	3	4	47	7	3	24	5	11	4	29	35
