name	units_2	age_45_54	in_finance	race_asian	income_mean	rent_median	in_wholesale	ancestry_arab	earnings_male	income_median	ancestry_greek	in_information	rent_1000_1499	rent_1500_1999	rent_2000_2499	rent_2500_2999	ancestry_polish	ancestry_slovak	built_1940_1949	built_1950_1959	built_1960_1969	earnings_female	earnings_median	ancestry_italian	ancestry_russian	income_percapita	ancestry_ukranian	in_transportation	ancestry_hungarian	income_200000_more	edu_bachelor_degree	edu_bachelor_higher	value_300000_499999	value_500000_999999	ancestry_west_indian	income_150000_199999	rank_units_2	rank_age_45_54	rank_in_finance	rank_race_asian	rank_income_mean	rank_rent_median	rank_in_wholesale	rank_ancestry_arab	rank_earnings_male	rank_income_median	rank_ancestry_greek	rank_in_information	rank_rent_1000_1499	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_ancestry_polish	rank_ancestry_slovak	rank_built_1940_1949	rank_built_1950_1959	rank_built_1960_1969	rank_earnings_female	rank_earnings_median	rank_ancestry_italian	rank_ancestry_russian	rank_income_percapita	rank_ancestry_ukranian	rank_in_transportation	rank_ancestry_hungarian	rank_income_200000_more	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_value_300000_499999	rank_value_500000_999999	rank_ancestry_west_indian	rank_income_150000_199999
Maryland	1.5	13.5	6.1	6.4	114236	1415	1.7	0.6	66093	87063	0.5	1.9	33.4	27.1	10.8	3.6	2.9	0.2	5.2	11.3	11.5	56623	45841	4.8	1.1	43352	0.3	4.8	0.4	13.4	21.8	40.9	34.3	17.8	1.5	10.8	50	4	28	9	5	4	51	13	5	2	8	12	15	1	6	9	17	7	16	13	12	3	2	16	9	5	16	35	11	4	15	4	6	11	6	1
Massachusetts	9.7	13.3	7.3	6.8	115964	1336	2.2	1.0	71096	84385	1.1	2.2	25.8	20.2	11.4	5.3	4.2	0.1	5.4	11.4	10.1	57737	44845	12.0	1.4	45555	0.4	4.0	0.3	14.3	24.5	44.5	35.6	27.8	2.0	10.6	3	7	9	7	3	7	37	3	2	4	2	7	34	9	4	4	9	17	15	12	23	2	3	4	5	3	10	48	20	3	4	2	4	4	4	2
Michigan	2.3	12.9	5.6	3.2	80803	892	2.4	2.0	54763	59234	0.4	1.3	28.1	6.6	1.8	0.6	8.0	0.2	7.5	14.7	11.8	42471	33534	4.5	0.6	32854	0.4	4.4	0.8	5.7	18.3	30.0	13.5	4.1	0.2	5.9	28	15	36	22	32	30	28	1	21	34	13	49	25	34	31	28	2	7	3	1	9	22	35	17	27	27	10	42	5	29	37	32	38	40	20	30
Minnesota	2.1	12.4	7.3	4.9	96814	1010	2.8	0.5	59850	73382	0.2	1.6	31.2	13.6	3.6	1.1	4.3	0.1	4.5	9.7	9.4	48961	40505	2.2	0.7	38881	0.3	4.7	0.2	8.5	24.2	36.8	23.6	7.6	0.2	8.2	32	30	9	12	14	24	4	17	11	14	31	25	18	21	19	18	8	17	26	21	31	11	10	38	24	11	16	38	31	15	5	11	20	22	20	14
Mississippi	2.5	12.3	4.5	1.0	65156	789	2.4	0.3	45599	46511	0.1	1.2	21.8	3.4	0.6	0.2	0.4	0.0	3.2	7.4	11.5	34304	30484	1.8	0.1	25444	0.0	6.5	0.1	3.4	13.8	22.8	7.3	2.4	0.1	4.1	23	33	49	48	51	47	28	31	50	51	45	51	46	47	51	49	51	40	42	37	12	51	50	45	49	51	50	5	44	50	50	50	51	50	36	49
Missouri	3.3	12.3	7.1	2.0	78194	843	2.7	0.4	50942	57290	0.2	1.8	25.4	4.9	1.2	0.4	1.6	0.1	4.7	10.0	11.4	40176	33811	3.3	0.4	31839	0.1	5.6	0.2	5.2	18.4	29.9	12.8	4.2	0.1	5.3	15	33	13	35	37	40	12	22	35	39	31	15	37	41	39	33	30	17	22	19	14	35	34	28	34	37	34	19	31	31	36	34	39	38	36	38
Montana	2.8	11.4	5.4	0.8	76834	836	2.1	0.1	49939	56539	0.2	1.6	25.2	6.2	1.5	0.4	1.9	0.1	4.7	9.0	8.4	38332	31067	3.6	0.8	32463	0.3	5.2	0.3	4.7	22.2	33.1	24.3	9.5	0.1	5.4	20	47	41	49	42	41	41	49	38	41	31	25	38	37	34	33	24	17	22	26	42	42	48	24	19	32	16	30	20	40	11	20	17	16	36	36
Nebraska	2.0	11.5	7.6	2.5	82306	857	2.6	0.4	52186	63015	0.2	1.8	25.6	5.6	1.1	0.3	3.3	0.0	4.8	9.5	11.1	40911	35283	2.6	0.5	33205	0.1	5.9	0.2	5.2	21.4	32.5	12.6	3.3	0.1	6.1	37	44	8	29	30	36	16	22	30	26	31	15	36	40	42	39	15	40	20	23	17	31	23	36	31	25	34	12	31	31	19	22	41	44	36	26
Nevada	1.4	13.0	5.6	8.3	84350	1159	2.1	0.4	48506	62043	0.4	1.5	41.0	17.9	4.0	0.9	1.8	0.1	1.1	2.8	5.8	41103	34822	5.2	0.8	32629	0.2	6.2	0.4	5.9	16.6	25.5	33.3	11.3	0.3	6.2	51	13	36	6	25	15	41	22	47	27	13	36	2	14	18	22	26	17	52	52	52	30	27	14	19	30	25	9	11	28	44	46	7	14	16	24
New Hampshire	5.6	14.0	6.3	2.7	101292	1145	2.6	0.7	61507	77923	1.4	1.9	39.8	17.0	4.3	1.5	4.0	0.1	3.7	6.9	8.7	49178	40797	10.1	0.9	41234	0.4	3.7	0.3	9.7	23.0	37.6	30.7	9.2	0.3	9.2	7	1	24	28	11	17	16	10	8	8	1	12	3	16	16	16	11	17	37	42	38	10	8	7	15	7	10	50	20	11	7	9	10	19	16	9
New Jersey	9.0	13.9	8.5	9.7	117868	1368	3.3	1.2	69629	85245	0.7	2.6	37.8	23.4	9.2	3.9	5.3	0.4	7.1	14.7	13.3	54975	44780	15.0	1.7	44153	0.7	6.4	1.0	14.8	24.8	40.7	34.5	20.9	1.9	10.4	4	2	4	3	2	5	2	2	3	3	4	5	7	4	9	6	6	4	6	1	4	5	4	3	3	4	3	7	2	2	3	5	5	8	5	4
New Mexico	1.9	11.5	4.8	1.6	70241	857	1.8	0.3	46369	51243	0.2	1.4	27.4	6.7	1.4	0.3	1.0	0.1	4.0	9.6	9.9	37898	30357	2.2	0.4	27945	0.1	4.4	0.2	4.1	15.8	28.1	14.2	5.1	0.1	4.7	42	44	47	38	48	36	48	31	48	47	31	46	28	33	36	39	41	17	33	22	29	43	51	38	34	48	34	42	31	48	47	42	37	34	36	47
New York	10.1	13.1	8.1	8.6	105304	1315	2.2	0.9	60871	71117	0.7	2.8	26.5	19.3	9.8	4.7	4.4	0.2	8.0	14.6	12.5	52668	41119	11.9	1.8	40898	0.7	5.5	0.7	11.5	20.9	37.5	22.3	22.5	4.0	8.4	2	11	5	5	9	9	37	4	10	15	4	3	31	11	8	5	7	7	2	4	6	6	7	5	2	8	3	21	6	8	22	10	22	7	2	13
North Carolina	2.0	13.2	6.7	3.0	79620	932	2.5	0.4	48869	56642	0.3	1.7	31.4	8.6	1.9	0.5	1.4	0.1	3.4	6.9	8.6	40819	33219	3.2	0.4	31993	0.2	4.8	0.3	6.0	20.4	32.0	16.8	6.5	0.5	5.4	37	8	17	24	34	27	24	22	44	40	20	20	17	27	29	30	35	17	41	42	40	32	38	29	34	36	25	35	20	25	23	26	32	29	13	36
North Dakota	2.1	10.6	5.7	1.6	85506	828	3.4	0.4	54353	65315	0.1	1.2	22.3	6.3	1.1	0.4	2.3	0.1	4.2	8.6	8.7	42337	38165	1.2	2.6	36289	0.6	5.4	0.3	6.0	22.1	30.7	17.6	5.0	0.2	6.3	32	51	32	38	23	42	1	22	22	20	45	51	45	35	42	33	18	17	31	29	38	23	17	50	1	18	5	27	20	25	13	28	27	35	20	22
Ohio	4.1	12.7	6.5	2.3	78797	825	2.6	0.7	53293	58116	0.5	1.5	23.4	4.5	1.2	0.3	3.6	0.9	6.1	14.0	12.0	41886	34649	6.1	0.6	32465	0.4	5.4	1.5	5.2	17.9	28.9	10.9	3.2	0.2	5.6	13	24	21	32	35	43	16	10	25	37	8	36	42	42	39	39	12	2	9	5	8	26	28	10	27	31	10	27	1	31	39	38	45	45	20	32
Oklahoma	1.9	11.7	5.5	2.2	74195	818	2.6	0.3	49185	53840	0.1	1.6	23.2	4.5	0.9	0.3	0.8	0.0	5.1	10.1	11.3	36821	32256	1.7	0.3	29873	0.1	5.5	0.1	4.5	17.2	26.1	9.3	3.1	0.4	4.8	42	42	39	34	44	44	16	31	43	44	45	25	43	42	45	39	46	40	18	17	15	48	41	47	42	43	34	21	44	43	43	45	48	46	14	46
Oregon	2.6	12.3	5.5	4.5	88137	1173	2.6	0.5	54792	65667	0.3	1.7	37.7	18.1	5.8	1.6	1.6	0.1	5.2	7.9	9.1	44809	35166	3.7	1.0	35393	0.5	4.5	0.4	7.2	21.3	34.4	36.7	18.8	0.1	7.0	22	33	39	15	20	14	16	17	20	19	20	20	8	13	14	15	30	17	16	35	33	19	25	23	13	21	7	40	11	19	20	17	2	9	36	19
Pennsylvania	4.3	12.9	6.6	3.5	87262	958	2.6	0.6	56266	63627	0.5	1.6	30.6	10.1	3.1	1.1	6.0	1.4	7.2	13.5	10.1	44779	36987	11.2	1.3	35518	0.8	5.8	0.9	7.1	19.5	32.3	17.1	6.3	0.7	6.7	12	15	19	19	21	26	16	13	18	23	8	25	20	26	24	18	5	1	4	6	23	20	19	6	7	20	1	14	3	20	30	24	30	30	11	21
Puerto Rico	3.2	13.1	5.3	0.2	33315	486	2.8	null	24088	21058	null	1.6	5.8	1.2	0.5	0.2	null	null	3.5	8.6	17.4	24385	17422	null	null	13318	null	3.8	null	1.0	null	null	3.3	1.0	null	0.9	16	11	42	52	52	52	4		52	52		25	52	52	52	49			39	29	1	52	52			52		49		52			52	52		52
Rhode Island	11.3	13.2	6.7	3.5	92427	1031	2.2	0.8	59194	70305	0.7	1.5	34.7	12.6	3.3	1.0	3.5	0.1	6.6	12.3	11.7	47939	39410	16.3	0.8	37504	0.4	4.2	0.2	7.7	21.0	35.0	30.2	10.4	0.9	7.8	1	8	17	19	17	23	37	6	13	16	4	36	13	24	22	21	14	17	8	10	10	14	13	2	19	13	10	46	31	17	21	14	11	15	10	15
South Carolina	1.8	12.7	5.7	1.6	76390	918	2.4	0.3	48718	54864	0.3	1.5	29.9	8.1	2.0	0.7	1.5	0.1	2.9	6.5	8.8	37883	31942	3.0	0.4	30727	0.2	5.3	0.3	5.1	18.2	29.0	14.4	6.1	0.4	5.2	45	24	32	38	43	28	28	31	45	42	20	36	23	30	27	26	34	17	46	46	35	44	45	32	34	41	25	29	20	35	38	37	36	32	14	40
South Dakota	1.9	11.0	7.3	1.4	77932	761	2.8	0.2	49358	59896	0.1	1.5	18.7	3.4	0.8	0.3	1.6	0.1	4.1	8.7	8.3	38586	33511	1.2	1.1	31415	0.2	4.3	0.1	4.4	20.1	29.3	14.7	4.3	0.1	5.1	42	49	9	44	38	49	4	45	41	32	45	36	49	47	47	39	30	17	32	27	43	41	36	50	9	38	25	44	44	45	26	35	35	37	36	42
Tennessee	2.7	13.0	5.9	1.8	76937	897	2.5	0.6	48607	54833	0.2	1.6	28.2	8.2	2.0	0.6	1.1	0.1	4.5	8.7	10.0	39132	32742	2.3	0.3	30869	0.1	6.8	0.2	5.1	17.8	28.2	15.4	6.2	0.2	4.9	21	13	31	36	41	29	24	13	46	43	31	25	24	29	27	28	40	17	26	27	27	39	39	37	42	40	34	2	31	35	40	40	34	31	20	44
Texas	1.8	12.4	6.8	4.9	89506	1082	2.8	0.5	51949	63826	0.2	1.7	36.5	14.4	4.2	1.2	1.0	0.0	3.2	7.7	8.8	41687	35003	1.8	0.3	32177	0.1	6.0	0.1	7.8	19.9	30.7	17.0	6.6	0.3	7.0	45	30	16	12	19	20	4	17	32	22	31	20	11	20	17	17	41	40	42	36	35	27	26	45	42	35	34	11	44	16	27	28	31	28	16	19
Utah	2.5	10.3	7.1	2.3	94452	1090	2.4	0.3	56374	74197	0.4	2.0	37.4	15.2	3.5	0.8	0.8	0.0	3.2	6.8	7.0	40326	33419	2.8	0.4	30986	0.1	5.2	0.2	7.0	23.0	34.7	35.8	13.3	0.1	7.8	23	52	13	32	16	19	28	31	17	13	13	9	9	18	21	24	46	40	42	44	49	34	37	33	34	39	34	30	31	22	7	15	3	12	36	15
Vermont	5.5	12.9	4.8	1.6	83767	999	1.9	0.3	52486	63477	0.4	1.7	32.7	12.1	3.3	0.9	3.6	0.2	3.0	6.0	8.3	45695	35246	7.3	1.1	35854	0.3	3.0	0.5	6.0	23.5	39.7	23.0	7.2	0.2	6.1	9	15	47	38	26	25	46	31	28	24	13	20	16	25	22	22	12	7	45	48	43	17	24	9	9	19	16	52	7	25	6	7	21	26	20	26
Virginia	1.6	13.2	6.3	6.7	106023	1257	1.8	0.9	61123	76398	0.4	1.9	30.1	20.8	9.2	3.7	1.8	0.2	4.3	8.6	10.5	48894	40573	3.9	0.5	41255	0.3	4.5	0.3	11.6	22.4	39.5	25.4	18.0	0.6	9.0	47	8	24	8	8	10	48	4	9	11	13	12	22	7	9	7	26	7	29	29	21	12	9	22	31	6	16	40	20	7	10	8	16	10	12	10
Washington	2.3	12.4	5.3	8.8	103669	1337	2.7	0.5	64520	77006	0.3	2.2	31.1	22.7	10.6	3.7	1.7	0.1	4.7	7.3	9.3	50941	41498	3.4	1.1	40837	0.8	5.5	0.3	10.5	22.8	36.7	33.2	24.0	0.2	8.9	28	30	42	4	10	6	12	17	6	10	20	7	19	5	7	7	28	17	22	39	32	8	6	26	9	9	1	21	20	10	9	12	8	5	20	11
West Virginia	2.0	12.9	4.2	0.8	65332	732	2.0	0.4	49375	48037	0.3	1.5	16.1	3.0	0.8	0.1	1.6	0.2	7.2	10.6	9.0	36133	31199	4.3	0.4	27346	0.1	5.8	0.5	3.1	12.7	21.3	8.0	1.9	0.1	3.9	37	15	51	49	50	51	44	22	40	50	20	36	51	50	47	52	30	7	4	16	34	50	47	18	34	50	34	14	7	51	51	51	50	51	36	51
Wisconsin	6.3	12.7	6.1	2.8	82757	872	2.7	0.3	53719	63293	0.3	1.6	26.5	5.7	1.3	0.4	8.4	0.2	5.5	10.7	9.7	42789	36540	3.4	0.7	34450	0.2	4.6	0.4	5.2	20.3	30.8	16.5	4.6	0.1	6.1	6	24	28	26	29	34	12	31	24	25	20	25	31	39	38	33	1	7	13	15	30	21	20	26	24	22	25	39	11	31	24	27	33	36	36	26
Wyoming	2.1	11.4	4.5	0.8	83583	853	1.9	0.1	57399	65304	0.3	1.6	24.9	8.5	1.9	0.5	1.7	0.1	4.8	8.6	7.5	39978	35388	3.2	0.8	34415	0.2	6.3	0.3	5.0	17.7	28.2	20.4	7.0	0.1	6.2	32	47	49	49	27	38	46	49	16	21	20	25	39	28	29	30	28	17	20	29	47	36	22	29	19	23	25	8	20	37	41	40	25	27	36	24
