name	age_5_9	rooms_8	rooms_9	employed	age_10_14	age_15_19	age_20_24	age_35_44	job_sales	age_5_under	age_under18	grapi_15_19	grapi_30_34	rooms_median	ancestry_swiss	ancestry_welsh	rent_1000_1499	ancestry_danish	built_2000_2009	built_2010_2013	ancestry_english	ancestry_swedish	built_2014_later	ancestry_scottish	income_75000_99999	edu_bachelor_degree	value_200000_299999	value_300000_499999	edu_college_nodegree	income_100000_149999	edu_highschool_higher	rank_age_5_9	rank_rooms_8	rank_rooms_9	rank_employed	rank_age_10_14	rank_age_15_19	rank_age_20_24	rank_age_35_44	rank_job_sales	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_grapi_30_34	rank_rooms_median	rank_ancestry_swiss	rank_ancestry_welsh	rank_rent_1000_1499	rank_ancestry_danish	rank_built_2000_2009	rank_built_2010_2013	rank_ancestry_english	rank_ancestry_swedish	rank_built_2014_later	rank_ancestry_scottish	rank_income_75000_99999	rank_edu_bachelor_degree	rank_value_200000_299999	rank_value_300000_499999	rank_edu_college_nodegree	rank_income_100000_149999	rank_edu_highschool_higher
Illinois	6.0	9.3	13.0	61.2	6.5	6.5	6.6	12.9	21.5	5.9	22.5	13.9	8.8	5.6	0.3	0.4	30.4	0.3	10.8	1.5	5.7	1.9	1.7	1.1	12.9	21.6	22.3	18.8	20.4	16.6	89.7	27	25	22	18	21	22	34	11	20	30	23	16	35	23	19	38	21	22	42	48	43	16	48	46	28	16	19	26	33	18	31
Indiana	6.5	9.8	13.5	60.7	6.7	6.9	7.1	12.3	20.6	6.2	23.5	14.0	8.9	5.8	0.6	0.6	23.9	0.2	11.9	2.4	8.7	0.8	2.9	1.7	13.5	17.3	17.4	10.3	20.1	14.7	89.3	11	17	19	22	11	6	9	27	39	14	11	15	27	13	5	18	40	28	33	35	23	28	31	23	18	42	42	47	36	34	32
Iowa	6.4	10.5	16.0	64.3	6.6	6.7	7.2	12.1	20.4	6.2	23.1	14.5	8.0	5.9	0.5	0.6	20.9	1.6	10.9	2.9	8.1	2.5	3.6	1.5	14.3	19.7	19.3	11.6	20.6	15.9	92.5	15	9	12	8	16	12	6	36	40	14	17	9	51	9	8	18	47	5	39	23	28	10	22	32	4	28	34	43	30	24	11
Kansas	6.8	10.5	16.6	63.2	6.9	6.9	7.3	12.3	20.4	6.5	24.2	15.1	9.0	6.0	0.4	0.8	26.1	0.5	10.9	2.5	10.2	2.0	2.8	1.9	13.5	21.5	19.0	12.7	22.8	15.1	91.4	7	9	9	13	7	6	4	27	40	8	7	5	24	5	10	12	33	17	39	32	14	14	32	19	18	18	37	40	13	29	18
Kentucky	6.2	8.7	12.2	55.9	6.4	6.5	6.8	12.4	21.2	6.1	22.6	14.4	8.2	5.6	0.2	0.6	20.9	0.1	14.3	2.9	11.0	0.4	3.1	1.9	12.4	14.8	17.0	10.4	20.9	13.0	87.2	19	33	28	44	23	22	17	25	24	19	22	12	50	23	24	18	47	40	22	23	10	46	29	19	38	49	43	46	24	46	42
Louisiana	6.4	7.7	8.3	54.9	6.7	6.4	6.7	12.6	21.7	6.5	23.5	11.5	8.9	5.4	0.1	0.3	26.8	0.1	14.3	4.0	5.5	0.3	4.0	1.0	11.4	15.9	21.3	12.6	21.2	13.0	85.9	15	39	43	46	11	31	25	17	15	8	11	48	27	37	44	46	29	40	22	8	46	48	19	47	49	46	26	41	21	46	48
Maine	5.1	8.3	10.0	60.3	5.4	5.8	5.6	11.5	21.0	4.8	18.7	13.3	10.2	5.4	0.2	0.9	27.7	0.4	12.6	2.3	19.0	1.6	2.2	4.5	13.8	20.3	24.7	17.5	19.2	15.0	93.2	48	36	37	25	50	49	52	50	28	49	50	30	1	37	24	9	27	18	29	37	2	18	40	1	13	24	16	28	38	31	6
Maryland	6.1	11.4	20.7	63.5	6.3	6.3	6.3	12.9	19.5	6.0	22.2	12.9	8.9	6.2	0.2	0.6	33.4	0.2	11.2	2.6	7.3	0.5	3.2	1.4	13.0	21.8	23.7	34.3	18.7	19.3	90.6	24	3	2	12	30	34	45	11	47	25	27	38	27	3	24	18	15	28	36	31	34	40	28	35	25	15	18	6	41	2	26
Massachusetts	5.3	9.3	12.0	63.7	5.7	6.6	7.1	12.2	19.4	5.2	19.8	12.5	9.8	5.5	0.1	0.4	25.8	0.2	7.1	1.7	9.3	1.5	2.3	2.0	12.0	24.5	17.9	35.6	15.3	18.0	91.1	45	25	30	10	47	16	9	32	49	46	46	42	3	32	44	38	34	28	49	44	19	20	39	16	43	4	40	4	50	10	21
Michigan	5.9	9.5	13.5	57.7	6.2	6.6	6.9	11.7	20.7	5.7	21.7	13.3	8.7	5.8	0.2	0.5	28.1	0.4	9.9	1.2	8.8	1.3	1.8	2.1	12.9	18.3	19.6	13.5	23.2	14.6	91.3	36	19	19	40	35	16	14	46	37	38	36	30	38	13	24	26	25	18	44	50	22	23	45	14	28	37	33	38	10	35	19
