name	rooms_1	rooms_3	rooms_4	units_2	units_3_4	edu_9_less	in_finance	income_mean	job_service	rent_median	ancestry_arab	grapi_35_more	housing_units	units_20_more	ancestry_greek	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1940_1949	built_1950_1959	built_1960_1969	earnings_female	occupied_renter	popestimate2020	popestimate2021	ancestry_italian	ancestry_russian	ancestry_ukranian	ancestry_hungarian	built_1939_earlier	income_200000_more	value_1000000_more	in_education_health	value_500000_999999	ancestry_west_indian	rank_rooms_1	rank_rooms_3	rank_rooms_4	rank_units_2	rank_units_3_4	rank_edu_9_less	rank_in_finance	rank_income_mean	rank_job_service	rank_rent_median	rank_ancestry_arab	rank_grapi_35_more	rank_housing_units	rank_units_20_more	rank_ancestry_greek	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1940_1949	rank_built_1950_1959	rank_built_1960_1969	rank_earnings_female	rank_occupied_renter	rank_popestimate2020	rank_popestimate2021	rank_ancestry_italian	rank_ancestry_russian	rank_ancestry_ukranian	rank_ancestry_hungarian	rank_built_1939_earlier	rank_income_200000_more	rank_value_1000000_more	rank_in_education_health	rank_value_500000_999999	rank_ancestry_west_indian
Hawaii	5.5	13.7	20.4	2.1	4.0	3.5	6.6	107348	23.0	1651	0.2	45.5	546571	19.6	0.2	1.5	20.6	13.8	9.4	12.4	3.5	8.5	14.4	45426	39.7	1451911	1441553	2.1	0.4	0.1	0.2	3.5	11.3	16.5	21.3	49.2	0.2	3	3	3	32	22	28	19	7	2	1	45	2	43	3	31	36	8	3	1	1	39	33	2	18	5	41	41	41	34	34	31	46	9	3	46	1	20
Idaho	1.8	6.1	14.4	2.3	4.3	3.1	5.7	77399	16.9	887	0.2	36.6	737411	3.8	0.2	1.6	7.3	1.4	0.4	0.6	3.8	6.1	6.6	37128	29.2	1847772	1900923	3.1	0.5	0.3	0.2	8.3	4.7	1.5	22.3	7.9	0.1	29	47	38	28	19	35	32	39	25	31	45	33	41	46	31	25	32	36	33	33	35	47	51	47	43	39	39	31	31	16	31	31	40	23	40	21	36
Illinois	2.6	8.3	15.5	5.6	6.4	4.6	7.3	95115	16.8	1038	0.8	38.2	5373385	10.8	0.7	1.8	13.6	5.3	1.9	1.7	6.1	12.6	11.6	47045	33.7	12785245	12671469	5.7	0.9	0.4	0.4	21.0	8.8	1.8	23.3	7.6	0.3	15	25	27	7	8	13	9	15	28	22	6	25	6	12	4	15	21	15	14	12	9	8	11	16	24	6	6	12	15	10	11	10	13	20	31	22	16
Indiana	1.4	6.5	13.7	2.4	3.5	3.6	5.2	76984	16.1	844	0.3	37.2	2903720	4.4	0.3	1.4	4.5	1.0	0.3	0.5	5.7	10.9	11.0	39800	30.5	6785644	6805985	2.7	0.3	0.1	0.5	16.8	4.5	0.6	23.3	3.0	0.1	47	45	45	26	31	27	44	40	43	39	31	32	17	40	20	46	42	44	39	40	12	14	18	37	40	17	17	35	42	34	7	17	43	46	31	47	36
Iowa	1.4	7.6	14.7	2.2	3.4	2.9	7.8	80316	15.9	806	0.3	34.7	1407819	6.1	0.2	1.6	4.5	1.2	0.3	0.7	5.0	10.1	10.1	41357	28.8	3188669	3193079	2.0	0.3	0.1	0.1	25.2	5.0	0.6	24.3	3.0	0.1	47	28	37	31	33	37	6	33	47	46	31	46	31	28	31	25	42	39	39	28	19	17	23	29	45	32	32	43	42	34	44	7	37	46	21	47	36
Kansas	2.1	6.9	13.6	2.5	3.6	3.5	6.3	82103	16.3	863	0.3	34.2	1280376	4.8	0.2	1.8	6.3	1.5	0.4	0.7	5.5	12.6	10.2	40776	33.8	2935880	2934582	2.1	0.6	0.1	0.2	16.2	5.7	0.8	24.7	4.1	0.1	21	40	46	23	27	28	24	31	40	35	31	48	34	37	31	15	35	34	33	28	13	8	22	33	20	36	36	41	27	34	31	18	29	39	15	40	36
Kentucky	1.4	7.0	15.9	2.9	4.4	5.0	5.7	72318	16.2	783	0.3	35.0	1994554	3.2	0.1	1.5	3.4	0.7	0.2	0.3	4.3	9.1	10.7	38782	32.4	4503958	4509394	2.0	0.2	0.1	0.2	9.6	4.2	0.7	24.1	3.4	0.1	47	37	22	19	16	7	32	46	41	48	31	42	26	49	45	36	47	50	49	46	29	25	20	40	32	26	26	43	47	34	31	29	47	44	23	43	36
Louisiana	1.5	7.4	17.0	4.0	4.0	4.7	5.1	73759	18.8	876	0.4	45.2	2074664	4.8	0.1	1.5	6.2	1.6	0.3	0.4	4.0	9.3	12.5	37701	33.4	4651203	4624047	4.3	0.2	0.0	0.1	6.7	4.7	1.0	24.5	4.2	0.2	40	31	11	14	22	8	45	45	8	32	22	3	25	37	45	36	37	32	39	43	33	24	6	45	27	25	25	18	47	50	44	37	40	34	19	38	20
Maine	2.7	9.0	16.5	4.9	5.4	2.3	6.3	78301	17.4	873	0.3	35.5	746793	3.5	0.5	1.6	7.8	1.6	0.5	0.6	4.6	7.2	6.9	42188	27.1	1362280	1372247	5.7	0.6	0.2	0.3	23.8	4.9	1.3	28.0	5.9	0.2	13	17	16	11	11	47	24	36	17	33	31	41	40	47	8	25	31	32	30	33	25	40	50	24	51	43	43	12	27	25	20	8	39	27	4	33	20
Maryland	1.7	7.5	12.8	1.5	2.2	3.9	6.1	114236	16.6	1415	0.6	40.3	2459650	9.3	0.5	1.9	27.1	10.8	3.6	2.5	5.2	11.3	11.5	56623	32.9	6172679	6165129	4.8	1.1	0.3	0.4	11.6	13.4	3.2	23.7	17.8	1.5	35	30	50	50	50	22	28	5	34	4	13	12	20	15	8	12	1	6	9	9	16	13	12	3	29	18	19	16	9	16	11	25	4	10	27	11	6
