name	rooms_8	rooms_9	age_45_54	class_govt	race_black	income_mean	rent_median	units_10_19	rooms_median	earnings_male	income_median	rent_1500_1999	rent_2000_2499	earnings_female	earnings_median	edu_grad_degree	in_professional	in_public_admin	job_bus_sci_art	income_percapita	units_1_attached	income_200000_more	edu_bachelor_higher	value_300000_499999	income_100000_149999	income_150000_199999	ancestry_subsaharan_african	rank_rooms_8	rank_rooms_9	rank_age_45_54	rank_class_govt	rank_race_black	rank_income_mean	rank_rent_median	rank_units_10_19	rank_rooms_median	rank_earnings_male	rank_income_median	rank_rent_1500_1999	rank_rent_2000_2499	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_in_public_admin	rank_job_bus_sci_art	rank_income_percapita	rank_units_1_attached	rank_income_200000_more	rank_edu_bachelor_higher	rank_value_300000_499999	rank_income_100000_149999	rank_income_150000_199999	rank_ancestry_subsaharan_african
Kentucky	8.7	12.2	12.9	14.3	8.1	72318	783	3.4	5.6	49210	52238	3.4	0.7	38782	32148	10.3	8.6	4.3	35.2	29123	2.6	4.2	25.0	10.4	13.0	4.5	0.8	33	28	15	26	26	46	48	33	23	42	45	47	50	40	42	39	42	33	46	46	46	47	47	46	46	48	28
Louisiana	7.7	8.3	12.1	15.2	32.2	73759	876	2.7	5.4	52911	50800	6.2	1.6	37701	32723	8.9	9.2	5.3	35.3	29522	2.7	4.7	24.9	12.6	13.0	5.3	1.4	39	43	37	19	3	45	32	42	37	26	48	37	32	45	40	46	36	14	45	44	44	40	48	41	46	38	10
Maine	8.3	10.0	13.4	13.4	1.4	78301	873	1.6	5.4	51630	59489	7.8	1.6	42188	34238	12.2	9.2	4.4	38.8	33774	2.3	4.9	32.5	17.5	15.0	5.5	0.8	36	37	5	36	47	36	33	52	37	33	33	31	32	24	32	22	36	30	22	24	47	39	22	28	31	35	28
Maryland	11.4	20.7	13.5	21.7	29.9	114236	1415	7.7	6.2	66093	87063	27.1	10.8	56623	45841	19.1	15.8	10.9	47.2	43352	21.3	13.4	40.9	34.3	19.3	10.8	4.3	3	2	4	4	5	5	4	2	3	5	2	1	6	3	2	3	3	3	3	5	2	4	4	6	2	1	1
Massachusetts	9.3	12.0	13.3	12.3	7.5	115964	1336	4.3	5.5	71096	84385	20.2	11.4	57737	44845	20.0	14.4	3.8	48.0	45555	5.4	14.3	44.5	35.6	18.0	10.6	2.2	25	30	7	42	27	3	7	17	32	2	4	9	4	2	3	2	4	45	2	3	19	3	2	4	10	2	6
Michigan	9.5	13.5	12.9	10.7	13.6	80803	892	3.5	5.8	54763	59234	6.6	1.8	42471	33534	11.7	9.7	3.5	37.6	32854	4.6	5.7	30.0	13.5	14.6	5.9	0.8	19	19	15	51	16	32	30	31	13	21	34	34	31	22	35	23	33	49	30	27	25	29	32	38	35	30	28
Minnesota	11.0	19.8	12.4	12.2	6.4	96814	1010	3.4	6.1	59850	73382	13.6	3.6	48961	40505	12.6	10.0	3.6	42.2	38881	7.4	8.5	36.8	23.6	18.3	8.2	2.9	5	3	30	45	30	14	24	33	4	11	14	21	19	11	10	18	28	48	11	11	9	15	11	20	6	14	4
Mississippi	8.6	9.2	12.3	18.5	37.7	65156	789	2.4	5.6	45599	46511	3.4	0.6	34304	30484	8.9	6.9	5.3	33.1	25444	1.2	3.4	22.8	7.3	11.2	4.1	0.7	34	39	33	10	2	51	47	46	23	50	51	47	51	51	50	46	49	14	50	51	52	50	50	51	51	49	33
Missouri	9.1	12.5	12.3	12.3	11.4	78194	843	3.3	5.6	50942	57290	4.9	1.2	40176	33811	11.5	9.8	4.3	37.9	31839	3.4	5.2	29.9	12.8	14.2	5.3	0.7	28	23	33	42	20	37	40	37	23	35	39	41	39	35	34	27	30	33	27	37	40	31	34	39	38	38	33
Montana	9.1	14.3	11.4	16.4	0.6	76834	836	2.5	5.5	49939	56539	6.2	1.5	38332	31067	10.9	8.8	5.6	37.5	32463	3.9	4.7	33.1	24.3	13.8	5.4	0.1	28	17	47	12	52	42	41	45	32	38	41	37	34	42	48	32	40	11	33	32	35	40	20	17	39	36	51
Nebraska	10.7	18.8	11.5	14.1	4.8	82306	857	4.6	6.0	52186	63015	5.6	1.1	40911	35283	11.1	8.9	4.2	38.8	33205	4.1	5.2	32.5	12.6	15.9	6.1	1.0	8	4	44	28	34	30	36	14	5	30	26	40	42	31	23	31	39	36	22	25	31	31	22	41	24	26	19
Nevada	7.6	7.8	13.0	11.9	9.3	84350	1159	5.2	5.2	48506	62043	17.9	4.0	41103	34822	8.8	11.5	4.2	30.9	32629	4.7	5.9	25.5	33.3	15.4	6.2	1.3	42	46	13	48	25	25	15	8	45	47	27	14	18	30	27	48	18	36	52	30	22	28	46	7	28	24	13
New Hampshire	9.4	12.3	14.0	13.1	1.6	101292	1145	3.1	5.6	61507	77923	17.0	4.3	49178	40797	14.5	11.2	4.1	41.9	41234	5.5	9.7	37.6	30.7	18.9	9.2	0.6	21	26	1	39	46	11	17	40	23	8	8	16	16	10	8	10	20	39	12	7	18	11	9	10	5	9	40
New Jersey	10.4	14.9	13.9	13.7	13.4	117868	1368	4.7	5.7	69629	85245	23.4	9.2	54975	44780	15.9	13.7	4.4	44.2	44153	9.7	14.8	40.7	34.5	17.8	10.4	1.3	11	15	2	33	17	2	5	13	19	3	3	4	9	5	4	8	7	30	6	4	7	2	5	5	11	4	13
New Mexico	7.1	7.1	11.5	22.5	2.1	70241	857	2.3	5.3	46369	51243	6.7	1.4	37898	30357	12.3	11.6	7.6	37.8	27945	3.5	4.1	28.1	14.2	12.8	4.7	0.4	46	48	44	3	42	48	36	47	42	48	47	33	36	43	51	21	17	7	28	48	39	48	42	37	48	47	46
New York	7.5	9.8	13.1	15.8	15.4	105304	1315	4.2	5.0	60871	71117	19.3	9.8	52668	41119	16.5	12.2	4.8	42.6	40898	5.3	11.5	37.5	22.3	16.0	8.4	1.4	43	38	11	14	13	9	9	18	48	10	15	11	8	6	7	6	13	21	10	8	20	8	10	22	23	13	10
North Carolina	8.4	11.7	13.2	13.9	21.4	79620	932	4.2	5.5	48869	56642	8.6	1.9	40819	33219	11.6	11.2	4.1	38.9	31993	4.3	6.0	32.0	16.8	13.7	5.4	1.3	35	32	8	29	9	34	27	18	32	44	40	27	29	32	38	25	20	39	21	36	28	25	26	32	40	36	13
