name	age_35_44	grapi_25_29	grapi_30_34	rent_median	value_median	earnings_male	income_median	rent_1500_1999	rent_2000_2499	ancestry_swedish	housing_occupied	ancestry_ukranian	units_boat_rv_van	value_300000_499999	value_500000_999999	income_150000_199999	rank_age_35_44	rank_grapi_25_29	rank_grapi_30_34	rank_rent_median	rank_value_median	rank_earnings_male	rank_income_median	rank_rent_1500_1999	rank_rent_2000_2499	rank_ancestry_swedish	rank_housing_occupied	rank_ancestry_ukranian	rank_units_boat_rv_van	rank_value_300000_499999	rank_value_500000_999999	rank_income_150000_199999
Montana	12.0	11.9	8.9	836	244900	49939	56539	6.2	1.5	2.7	84.7	0.3	0.1	24.3	9.5	5.4	40	18	27	41	19	38	41	37	34	9	38	16	13	17	16	36
Nebraska	12.5	11.5	8.6	857	164000	52186	63015	5.6	1.1	3.7	90.8	0.1	0.0	12.6	3.3	6.1	21	36	40	36	39	30	26	40	42	3	7	34	30	41	44	26
Nevada	13.3	11.6	9.2	1159	290200	48506	62043	17.9	4.0	1.1	89.1	0.2	0.2	33.3	11.3	6.2	7	28	16	15	12	47	27	14	18	25	20	25	3	7	14	24
New Hampshire	11.5	13.2	9.7	1145	272300	61507	77923	17.0	4.3	1.9	84.4	0.4	0.0	30.7	9.2	9.2	50	3	5	17	17	8	8	16	16	16	41	10	30	10	19	9
New Jersey	12.8	11.6	8.9	1368	343500	69629	85245	23.4	9.2	0.5	90.2	0.7	0.0	34.5	20.9	10.4	13	28	27	5	7	3	3	4	9	40	14	3	30	5	8	4
New Mexico	12.1	11.2	8.7	857	175700	46369	51243	6.7	1.4	0.7	84.0	0.1	0.2	14.2	5.1	4.7	36	44	38	36	35	48	47	33	36	30	43	34	3	37	34	47
New York	12.4	10.8	9.1	1315	325000	60871	71117	19.3	9.8	0.6	88.7	0.7	0.0	22.3	22.5	8.4	25	50	21	9	10	10	15	11	8	34	22	3	30	22	7	13
North Carolina	12.6	11.6	8.9	932	182100	48869	56642	8.6	1.9	0.6	86.0	0.2	0.1	16.8	6.5	5.4	17	28	27	27	33	44	40	27	29	34	33	25	13	32	29	36
North Dakota	11.9	9.8	7.0	828	199900	54353	65315	6.3	1.1	3.9	85.2	0.6	0.0	17.6	5.0	6.3	43	51	52	42	27	22	20	35	42	2	36	5	30	27	35	22
Ohio	12.0	11.8	8.5	825	151400	53293	58116	4.5	1.2	0.6	90.4	0.4	0.0	10.9	3.2	5.6	40	21	44	43	44	25	37	42	39	34	11	10	30	45	45	32
Oklahoma	12.5	10.9	8.3	818	142400	49185	53840	4.5	0.9	0.6	85.8	0.1	0.2	9.3	3.1	4.8	21	49	48	44	48	43	44	42	45	34	34	34	3	48	46	46
Oregon	13.4	12.0	9.4	1173	336700	54792	65667	18.1	5.8	2.3	91.8	0.5	0.3	36.7	18.8	7.0	5	16	11	14	8	20	19	13	14	12	3	7	2	2	9	19
Pennsylvania	11.7	11.5	8.6	958	187500	56266	63627	10.1	3.1	0.7	89.4	0.8	0.0	17.1	6.3	6.7	46	36	40	26	31	18	23	26	24	30	18	1	30	30	30	21
Puerto Rico	12.3	11.6	8.6	486	111200	24088	21058	1.2	0.5	null	77.3	null	0.0	3.3	1.0	0.9	27	28	40	52	52	52	52	52	52		51		30	52	52	52
Rhode Island	11.7	13.2	9.4	1031	276600	59194	70305	12.6	3.3	1.5	88.4	0.4	0.0	30.2	10.4	7.8	46	3	11	23	15	13	16	24	22	20	24	10	30	11	15	15
South Carolina	12.1	11.2	9.1	918	170100	48718	54864	8.1	2.0	0.5	84.6	0.2	0.1	14.4	6.1	5.2	36	44	21	28	37	45	42	30	27	40	39	25	13	36	32	40
South Dakota	11.9	11.5	8.6	761	174600	49358	59896	3.4	0.8	3.0	87.7	0.2	0.1	14.7	4.3	5.1	43	36	40	49	36	41	32	47	47	5	28	25	13	35	37	42
Tennessee	12.5	12.2	9.2	897	177600	48607	54833	8.2	2.0	0.5	88.1	0.1	0.1	15.4	6.2	4.9	21	12	16	29	34	46	43	29	27	40	25	34	13	34	31	44
Texas	13.6	11.8	9.2	1082	187200	51949	63826	14.4	4.2	0.5	89.1	0.1	0.2	17.0	6.6	7.0	4	21	16	20	32	32	22	20	17	40	20	34	3	31	28	19
Utah	13.7	12.2	9.7	1090	305400	56374	74197	15.2	3.5	3.4	90.4	0.1	0.1	35.8	13.3	7.8	3	12	5	19	11	17	13	18	21	4	11	34	13	3	12	15
Vermont	11.3	13.6	9.5	999	230900	52486	63477	12.1	3.3	1.6	77.9	0.3	0.0	23.0	7.2	6.1	52	2	8	25	24	28	24	25	22	18	50	16	30	21	26	26
Virginia	13.0	12.1	9.1	1257	282800	61123	76398	20.8	9.2	0.6	90.0	0.3	0.0	25.4	18.0	9.0	10	14	21	10	13	9	11	7	9	34	15	16	30	16	10	10
Washington	13.4	12.7	9.8	1337	366800	64520	77006	22.7	10.6	2.8	92.2	0.8	0.2	33.2	24.0	8.9	5	5	3	6	6	6	10	5	7	6	1	1	3	8	5	11
West Virginia	12.0	11.1	8.9	732	123200	49375	48037	3.0	0.8	0.3	82.2	0.1	0.1	8.0	1.9	3.9	40	47	27	51	51	40	50	50	47	48	48	34	13	50	51	51
Wisconsin	12.2	11.4	8.3	872	189200	53719	63293	5.7	1.3	2.4	87.8	0.2	0.0	16.5	4.6	6.1	32	41	48	34	30	24	25	39	38	11	27	25	30	33	36	26
Wyoming	12.6	12.3	8.8	853	228000	57399	65304	8.5	1.9	2.8	83.7	0.2	0.2	20.4	7.0	6.2	17	9	35	38	25	16	21	28	29	6	45	25	3	25	27	24
