rank	name	state	age_18_over	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Sumter County	Florida	92.7	130,897	135,638	1,145	4,741	94
2	Charlotte County	Florida	88.0	187,960	194,843	1,113	6,883	110
3	San Francisco County	California	86.6	870,014	815,201	-3,951	-54,813	6,709
4	Sarasota County	Florida	85.8	435,664	447,057	1,658	11,393	310
5	New York County	New York	85.7	1,687,834	1,576,876	-6,417	-110,958	26,871
6	Hampshire County	Massachusetts	85.5	162,064	161,572	-244	-492	118
7	Citrus County	Florida	85.3	154,403	158,083	560	3,680	105
7	Tompkins County	New York	85.3	105,404	105,162	-336	-242	86
8	Barnstable County	Massachusetts	85.0	228,969	232,411	-27	3,442	228
8	Centre County	Pennsylvania	85.0	157,929	157,527	-243	-402	55
9	Brunswick County	North Carolina	84.7	138,084	144,215	1,391	6,131	66
10	Monroe County	Indiana	84.3	139,517	139,875	-201	358	137
