rank	name	state	rent_2000_2499	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Arlington County	Virginia	25.6	238,766	232,965	123	-5,801	3,460
2	Contra Costa County	California	23.5	1,165,562	1,161,413	-365	-4,149	625
3	Loudoun County	Virginia	23.3	422,597	427,592	1,638	4,995	320
4	Fairfax County	Virginia	23.0	1,148,472	1,139,720	-1,837	-8,752	1,125
4	Orange County	California	23.0	3,184,101	3,167,809	-2,888	-16,292	1,543
5	Ventura County	California	22.2	842,921	839,784	-922	-3,137	176
6	Suffolk County	New York	22.1	1,524,099	1,526,344	-1,821	2,245	647
7	Santa Cruz County	California	21.2	270,353	267,792	-508	-2,561	232
8	San Mateo County	California	21.0	762,453	737,888	-1,989	-24,565	635
9	Marin County	California	20.3	261,776	260,206	-545	-1,570	193
9	Napa County	California	20.3	137,608	136,207	-411	-1,401	70
10	Santa Clara County	California	20.2	1,930,598	1,885,508	-5,661	-45,090	564
