rank	name	state	age_25_34	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Arlington County	Virginia	24.1	238,766	232,965	123	-5,801	3,460
2	Denver County	Colorado	23.4	717,630	711,463	2,108	-6,167	1,795
2	San Francisco County	California	23.4	870,014	815,201	-3,951	-54,813	6,709
3	Suffolk County	Massachusetts	23.3	795,431	771,245	-2,505	-24,186	5,112
3	District of Columbia	District of Columbia	23.3	690,093	670,050	548	-20,043	4,232
4	New York County	New York	22.2	1,687,834	1,576,876	-6,417	-110,958	26,871
5	Richmond city	Virginia	21.9	226,670	226,604	60	-66	1,460
6	Alexandria city	Virginia	21.3	159,097	154,706	-370	-4,391	3,999
7	Hudson County	New Jersey	21.0	722,655	702,463	-2,199	-20,192	5,871
8	Davidson County	Tennessee	20.3	715,486	703,953	-398	-11,533	540
9	Travis County	Texas	20.1	1,296,100	1,305,154	5,912	9,054	507
9	St. Louis city	Missouri	20.1	300,528	293,310	-1,050	-7,218	1,834
10	Norfolk city	Virginia	19.5	237,591	235,089	-414	-2,502	1,704
