rank	name	state	age_62_over	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Sumter County	Florida	63.6	130,897	135,638	1,145	4,741	94
2	Charlotte County	Florida	45.4	187,960	194,843	1,113	6,883	110
3	Sarasota County	Florida	41.6	435,664	447,057	1,658	11,393	310
3	Citrus County	Florida	41.6	154,403	158,083	560	3,680	105
4	Highlands County	Florida	39.4	101,222	103,296	-13	2,074	39
5	Brunswick County	North Carolina	37.8	138,084	144,215	1,391	6,131	66
6	Indian River County	Florida	37.7	160,345	163,662	557	3,317	126
7	Yavapai County	Arizona	37.6	237,067	242,253	858	5,186	12
8	Collier County	Florida	36.2	377,079	385,980	1,327	8,901	75
9	Martin County	Florida	36.1	158,529	159,942	98	1,413	114
9	Barnstable County	Massachusetts	36.1	228,969	232,411	-27	3,442	228
10	Mohave County	Arizona	35.7	214,070	217,692	803	3,622	6
