rank	name	state	age_21_over	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Sumter County	Florida	91.3	130,897	135,638	1,145	4,741	94
2	Charlotte County	Florida	85.7	187,960	194,843	1,113	6,883	110
3	San Francisco County	California	84.3	870,014	815,201	-3,951	-54,813	6,709
4	Sarasota County	Florida	83.4	435,664	447,057	1,658	11,393	310
5	Citrus County	Florida	83.2	154,403	158,083	560	3,680	105
6	New York County	New York	82.6	1,687,834	1,576,876	-6,417	-110,958	26,871
7	Brunswick County	North Carolina	82.4	138,084	144,215	1,391	6,131	66
8	Barnstable County	Massachusetts	82.3	228,969	232,411	-27	3,442	228
9	Indian River County	Florida	81.4	160,345	163,662	557	3,317	126
10	Pinellas County	Florida	81.3	958,752	956,615	-355	-2,137	1,349
