rank	name	state	units_boat_rv_van	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
10	Nueces County	Texas	0.2	353,090	353,079	-88	-11	162
10	Cameron County	Texas	0.2	421,191	423,029	174	1,838	183
10	Maricopa County	Arizona	0.2	4,438,342	4,496,588	17,774	58,246	189
10	Brazos County	Texas	0.2	234,480	237,032	631	2,552	156
10	Thurston County	Washington	0.2	295,729	297,977	936	2,248	159
10	Mobile County	Alabama	0.2	414,250	413,073	-559	-1,177	130
10	Matanuska-Susitna Borough	Alaska	0.2	107,460	110,686	379	3,226	2
10	Brevard County	Florida	0.2	608,007	616,628	1,395	8,621	235
10	Snohomish County	Washington	0.2	829,331	833,540	1,374	4,209	154
10	Nevada County	California	0.2	102,199	103,487	-42	1,288	42
10	Bell County	Texas	0.2	371,981	379,617	1,334	7,636	139
10	Kootenai County	Idaho	0.2	172,646	179,789	1,284	7,143	56
10	Hillsborough County	Florida	0.2	1,463,380	1,478,194	3,618	14,814	558
10	Multnomah County	Oregon	0.2	815,871	803,377	443	-12,494	719
10	Lee County	Florida	0.2	764,679	787,976	3,857	23,297	390
