name	state	zscore_1_65
Adams County	Indiana	"{""age_5_9"": ""{county:8.3|state:6.5|us:6.1}"", ""age_10_14"": ""{county:9.1|state:6.7|us:6.5}"", ""age_5_under"": ""{county:9.3|state:6.2|us:6.0}"", ""age_under18"": ""{county:31.4|state:23.5|us:22.4}"", ""ancestry_swiss"": ""{county:8.3|state:0.6|us:0.3}"", ""in_manufacturing"": ""{county:29.1|state:18.7|us:10.0}""}"
Adams County	Nebraska	"{""units_3_4"": ""{county:6.5|state:2.6|us:4.3}"", ""ancestry_german"": ""{county:40.1|state:32.4|us:13.0}"", ""built_1940_1949"": ""{county:11.7|state:4.8|us:4.8}""}"
Adams County	Wisconsin	"{""age_60_64"": ""{county:10.3|state:6.7|us:6.2}"", ""age_65_74"": ""{county:17.9|state:9.9|us:9.4}"", ""age_75_84"": ""{county:8.9|state:4.8|us:4.7}"", ""age_median"": ""{county:54.2|state:39.6|us:38.2}"", ""age_16_over"": ""{county:87.2|state:80.6|us:80.1}"", ""age_18_over"": ""{county:85.3|state:78.1|us:77.6}"", ""age_21_over"": ""{county:83.5|state:74.0|us:73.5}"", ""age_62_over"": ""{county:35.6|state:20.8|us:19.6}"", ""age_65_over"": ""{county:29.4|state:16.9|us:16.0}"", ""housing_vacant"": ""{county:48.8|state:12.2|us:11.6}"", ""ancestry_polish"": ""{county:9.5|state:8.4|us:2.7}""}"
Adams County	Washington	"{""age_5_9"": ""{county:10.0|state:6.2|us:6.1}"", ""age_10_14"": ""{county:10.6|state:6.1|us:6.5}"", ""edu_9_less"": ""{county:22.0|state:3.5|us:4.9}"", ""age_5_under"": ""{county:9.5|state:6.1|us:6.0}"", ""age_under18"": ""{county:35.2|state:22.0|us:22.4}"", ""race_hispanic"": ""{county:63.9|state:12.9|us:18.2}"", ""in_agri_mining"": ""{county:29.5|state:2.5|us:1.7}"", ""job_construction"": ""{county:28.1|state:9.4|us:8.7}""}"
Addison County	Vermont	"{""ancestry_french"": ""{county:8.6|state:10.5|us:2.3}"", ""edu_grad_degree"": ""{county:16.0|state:16.1|us:12.7}"", ""edu_bachelor_degree"": ""{county:25.0|state:23.5|us:20.2}"", ""edu_bachelor_higher"": ""{county:41.0|state:39.7|us:32.9}"", ""value_200000_299999"": ""{county:33.2|state:28.4|us:20.0}"", ""value_300000_499999"": ""{county:28.2|state:23.0|us:20.5}"", ""ancestry_frenchcanadian"": ""{county:9.4|state:7.9|us:0.6}""}"
Adjuntas Municipio		"{""rooms_5"": ""{county:50.5|state:37.4|us:19.3}"", ""class_govt"": ""{county:33.4|state:21.0|us:13.9}"", ""unemployed"": ""{county:11.2|state:6.7|us:3.4}"", ""job_service"": ""{county:28.8|state:20.6|us:17.4}"", ""race_hispanic"": ""{county:99.6|state:98.7|us:18.2}"", ""rent_500_less"": ""{county:75.7|state:52.2|us:8.9}"", ""built_1970_1979"": ""{county:24.1|state:22.8|us:15.0}"", ""built_1980_1989"": ""{county:22.4|state:16.9|us:13.4}"", ""in_public_admin"": ""{county:13.8|state:8.7|us:4.7}"", ""units_1_attached"": ""{county:11.9|state:11.5|us:5.9}"", ""income_10000_less"": ""{county:35.2|state:26.4|us:5.8}"", ""value_50000_99999"": ""{county:42.2|state:33.8|us:11.0}"", ""income_10000_14999"": ""{county:17.2|state:11.7|us:4.1}"", ""income_15000_24999"": ""{county:20.4|state:18.3|us:8.5}""}"
Aguada Municipio		"{""rooms_4"": ""{county:23.9|state:26.2|us:16.1}"", ""rooms_5"": ""{county:58.5|state:37.4|us:19.3}"", ""units_2"": ""{county:19.5|state:3.2|us:3.5}"", ""in_other"": ""{county:7.8|state:5.4|us:4.8}"", ""in_retail"": ""{county:17.2|state:13.3|us:11.0}"", ""race_mixed"": ""{county:17.4|state:9.7|us:5.2}"", ""race_hispanic"": ""{county:92.7|state:98.7|us:18.2}"", ""rent_500_less"": ""{county:76.9|state:52.2|us:8.9}"", ""built_1970_1979"": ""{county:35.0|state:22.8|us:15.0}"", ""built_1980_1989"": ""{county:21.3|state:16.9|us:13.4}"", ""income_10000_less"": ""{county:28.6|state:26.4|us:5.8}"", ""value_50000_99999"": ""{county:47.8|state:33.8|us:11.0}"", ""class_selfemployed"": ""{county:18.2|state:10.0|us:5.9}"", ""income_10000_14999"": ""{county:16.5|state:11.7|us:4.1}"", ""income_15000_24999"": ""{county:19.5|state:18.3|us:8.5}""}"
Aguadilla Municipio		"{""rooms_5"": ""{county:47.6|state:37.4|us:19.3}"", ""unemployed"": ""{county:6.7|state:6.7|us:3.4}"", ""units_10_19"": ""{county:6.7|state:3.1|us:4.3}"", ""race_hispanic"": ""{county:97.8|state:98.7|us:18.2}"", ""rent_500_less"": ""{county:64.1|state:52.2|us:8.9}"", ""units_1_attached"": ""{county:15.6|state:11.5|us:5.9}"", ""income_10000_less"": ""{county:34.6|state:26.4|us:5.8}"", ""income_10000_14999"": ""{county:12.8|state:11.7|us:4.1}""}"
Aguas Buenas Municipio		"{""rooms_4"": ""{county:30.4|state:26.2|us:16.1}"", ""rooms_5"": ""{county:41.1|state:37.4|us:19.3}"", ""units_2"": ""{county:22.2|state:3.2|us:3.5}"", ""in_other"": ""{county:7.5|state:5.4|us:4.8}"", ""race_mixed"": ""{county:38.6|state:9.7|us:5.2}"", ""job_service"": ""{county:26.3|state:20.6|us:17.4}"", ""race_hispanic"": ""{county:99.4|state:98.7|us:18.2}"", ""rent_500_less"": ""{county:60.1|state:52.2|us:8.9}"", ""built_1960_1969"": ""{county:17.3|state:17.4|us:10.5}"", ""income_10000_less"": ""{county:24.2|state:26.4|us:5.8}"", ""class_selfemployed"": ""{county:15.8|state:10.0|us:5.9}"", ""income_10000_14999"": ""{county:13.2|state:11.7|us:4.1}"", ""income_15000_24999"": ""{county:21.3|state:18.3|us:8.5}"", ""value_100000_149000"": ""{county:33.6|state:29.1|us:12.3}""}"
Aibonito Municipio		"{""rooms_4"": ""{county:30.6|state:26.2|us:16.1}"", ""rooms_5"": ""{county:37.6|state:37.4|us:19.3}"", ""race_mixed"": ""{county:12.5|state:9.7|us:5.2}"", ""race_hispanic"": ""{county:99.5|state:98.7|us:18.2}"", ""rent_500_less"": ""{county:57.2|state:52.2|us:8.9}"", ""units_1_attached"": ""{county:17.9|state:11.5|us:5.9}"", ""income_10000_less"": ""{county:23.6|state:26.4|us:5.8}"", ""income_10000_14999"": ""{county:12.0|state:11.7|us:4.1}"", ""income_15000_24999"": ""{county:23.7|state:18.3|us:8.5}"", ""value_100000_149000"": ""{county:30.2|state:29.1|us:12.3}""}"
