rank	name	state	rooms_3	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	New York County	New York	29.3	1,687,834	1,576,876	-6,417	-110,958	26,871
2	Bronx County	New York	27.2	1,466,438	1,424,948	-6,216	-41,490	13,045
3	Arlington County	Virginia	25.2	238,766	232,965	123	-5,801	3,460
4	Kings County	New York	23.9	2,727,393	2,641,052	-8,681	-86,341	14,698
5	Hudson County	New Jersey	22.4	722,655	702,463	-2,199	-20,192	5,871
6	District of Columbia	District of Columbia	21.5	690,093	670,050	548	-20,043	4,232
7	Alexandria city	Virginia	21.3	159,097	154,706	-370	-4,391	3,999
8	Queens County	New York	21.0	2,395,791	2,331,143	-9,673	-64,648	8,278
9	Suffolk County	Massachusetts	18.6	795,431	771,245	-2,505	-24,186	5,112
10	San Francisco County	California	18.3	870,014	815,201	-3,951	-54,813	6,709
