POPULATION:

name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
Saunders County	22,361	22,787	83	426	78	237	79	260	-1	-23	0	0	85	454	85	454	10.50	11.52	-1.02	0.00	20.11	20.11
Nebraska	1,961,455	1,963,692	-49	2,237	6,099	23,524	5,041	19,213	1,058	4,311	25	1,044	-1,134	-3,313	-1,109	-2,269	11.99	9.79	2.20	0.53	-1.69	-1.16
