# POPULATION:
name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
Union County	26,149	26,212	-47	63	70	239	87	327	-17	-88	0	6	-29	143	-29	149	9.13	12.49	-3.36	0.23	5.46	5.69
Oregon	4,241,544	4,246,155	4,288	4,611	10,425	39,877	11,334	44,592	-909	-4,715	64	1,101	5,246	8,080	5,310	9,181	9.40	10.51	-1.11	0.26	1.90	2.16
