# POPULATION:
name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
Grimes County	29,414	30,287	146	873	72	291	85	327	-13	-36	0	1	159	920	159	921	9.75	10.95	-1.21	0.03	30.82	30.85
Texas	29,217,653	29,527,941	72,148	310,288	88,377	362,450	60,137	248,605	28,240	113,845	1,318	27,185	40,982	170,307	42,300	197,492	12.34	8.46	3.88	0.93	5.80	6.72
