# POPULATION:

name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
Webster County	12,989	12,813	-28	-176	41	146	55	210	-14	-64	-1	0	-13	-112	-14	-112	11.32	16.28	-4.96	0.00	-8.68	-8.68
Kentucky	4,503,958	4,509,394	-1,878	5,436	12,456	50,725	14,557	56,853	-2,101	-6,128	34	1,182	258	10,022	292	11,204	11.26	12.62	-1.36	0.26	2.22	2.49
