# POPULATION:

name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
Haralson County	29,985	30,572	66	587	85	379	143	438	-58	-59	-1	-1	125	655	124	654	12.52	14.47	-1.95	-0.03	21.63	21.60
Georgia	10,725,800	10,799,566	13,892	73,766	29,463	121,269	25,664	105,276	3,799	15,993	461	6,997	9,347	50,632	9,808	57,629	11.27	9.78	1.49	0.65	4.70	5.35
