# POPULATION:

name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
Deuel County	4,299	4,272	4	-27	17	46	12	53	5	-7	0	1	-1	-20	-1	-19	10.73	12.37	-1.63	0.23	-4.67	-4.43
South Dakota	887,099	895,376	432	8,277	2,881	10,843	2,496	9,175	385	1,668	45	1,039	2	5,564	47	6,603	12.17	10.29	1.87	1.17	6.24	7.41
