POPULATION:

name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
Rice County	67,030	67,262	-67	232	153	671	148	610	5	61	1	81	-73	75	-72	156	9.99	9.08	0.91	1.21	1.12	2.32
Minnesota	5,707,165	5,707,390	671	225	16,428	63,065	13,403	53,578	3,025	9,487	171	4,042	-2,494	-13,453	-2,323	-9,411	11.05	9.39	1.66	0.71	-2.36	-1.65
