# POPULATION:

name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
St. John the Baptist Parish	42,394	42,094	-83	-300	139	511	127	494	12	17	0	20	-97	-341	-97	-321	12.10	11.69	0.40	0.47	-8.07	-7.60
Louisiana	4,651,203	4,624,047	-6,554	-27,156	13,337	55,942	13,460	55,335	-123	607	88	2,692	-6,542	-30,312	-6,454	-27,620	12.06	11.93	0.13	0.58	-6.54	-5.96
