POPULATION:

name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
Bryan County	44,999	46,938	261	1,939	131	580	93	327	38	253	1	-1	220	1,709	221	1,708	12.62	7.11	5.50	-0.02	37.18	37.16
Georgia	10,725,800	10,799,566	13,892	73,766	29,463	121,269	25,664	105,276	3,799	15,993	461	6,997	9,347	50,632	9,808	57,629	11.27	9.78	1.49	0.65	4.70	5.35
