# POPULATION:

name	popestimate2020	popestimate2021	npopchg2020	npopchg2021	births2020	births2021	deaths2020	deaths2021	naturalchg2020	naturalchg2021	internationalmig2020	internationalmig2021	domesticmig2020	domesticmig2021	netmig2020	netmig2021	rbirth2021	rdeath2021	rnaturalchg2021	rinternationalmig2021	rdomesticmig2021	rnetmig2021
Phillips County	4,190	4,192	-27	2	7	44	24	54	-17	-10	0	0	-10	13	-10	13	10.50	12.88	-2.39	0.00	3.10	3.10
Montana	1,086,193	1,104,271	1,968	18,078	2,783	10,502	3,050	12,022	-267	-1,520	28	551	2,243	19,240	2,271	19,791	9.59	10.98	-1.39	0.50	17.57	18.07
